path,name,parent,Description
/ROOT,ROOT,,Starting the interview
/ROOT/ANXIETYROOT,ANXIETYROOT,ROOT,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has anxiety mood. not met if the patient clearly  does not have a anxiety mood or expresses a normal mood or say good bye.
/ROOT/ANXIETYROOT/SUB,SUB,ANXIETYROOT,"Determine if the patient's anxiety is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects, otherwise not met"
/ROOT/ANXIETYROOT/SUB/SUB_DIST,SUB_DIST,SUB,Determine if the patient's anxiety mood is associated with disturbance in attention and awareness is characterized by a fluctuating course. The criteria is met when there is evidence of changes in the patient's level of attention or alertness that vary over time.
/ROOT/ANXIETYROOT/SUB/SUB_DIST/SIDELIRIUM,SIDELIRIUM,SUB_DIST,Substance Intoxication Delirium; Substance withdrawal delirium; Medication-Induced Delirium
/ROOT/ANXIETYROOT/SUB/SUB_DIST/SUB_DIST_SEV,SUB_DIST_SEV,SUB_DIST,"Evaluate if the anxiety mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition."
/ROOT/ANXIETYROOT/SUB/SUB_DIST/SUB_DIST_SEV/SIANX,SIANX,SUB_DIST_SEV,Substance/Medication-Induced Anxiety Disorder
/ROOT/ANXIETYROOT/SUB/SUB_DIST/SUB_DIST_SEV/SI,SI,SUB_DIST_SEV,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication
/ROOT/ANXIETYROOT/SUB/MED,MED,SUB,"Determine if the patient's anxiety mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.The criteria is met when the patient's mood disturbance is directly linked to the medical condition, otherwise not met"
/ROOT/ANXIETYROOT/SUB/MED/MED_DIST,MED_DIST,MED,"Evaluate if the anxiety mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition."
/ROOT/ANXIETYROOT/SUB/MED/MED_DIST/MEDDELIRIUM,MEDDELIRIUM,MED_DIST,Delirium Due to Another Medical Condition
/ROOT/ANXIETYROOT/SUB/MED/MED_DIST/MED_DIST_SEV,MED_DIST_SEV,MED_DIST,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas."
/ROOT/ANXIETYROOT/SUB/MED/MED_DIST/MED_DIST_SEV/MNEUD,MNEUD,MED_DIST_SEV,"Major or Mild Neurocognitive disorder due to another medical condition, with behavioral disturbance"
/ROOT/ANXIETYROOT/SUB/MED/MED_DIST/MED_DIST_SEV/MEDANX,MEDANX,MED_DIST_SEV,Anxiety Disorder Due to Another Medical Condition
/ROOT/ANXIETYROOT/SUB/MED/FEAR,FEAR,MED,Determine if the patient's anxiety occur in the context of an abrupt surge of intense fear and discomfort that reaches a peak within minutes. The criteria is met when the patient's experience is marked by a rapid escalation of fear or anxiety.
/ROOT/ANXIETYROOT/SUB/MED/FEAR/PANICATTACK,PANICATTACK,FEAR,Panic Attack
/ROOT/ANXIETYROOT/SUB/MED/FEAR/PANICSEV,PANICSEV,FEAR,"Determine if the patient experiences recurrent, unexpected panic attacks that are clinically significant. The criteria is met when the patient reports multiple episodes of sudden, intense fear or discomfort that occur without warning."
/ROOT/ANXIETYROOT/SUB/MED/FEAR/PANICSEV/PANICDISORDER,PANICDISORDER,PANICSEV,Panic Disorder
/ROOT/ANXIETYROOT/SUB/MED/FEAR/PANICSEV/PLACE,PLACE,PANICSEV,Determine if the patient experiences anxiety about being in places or situations where escape might be difficult or embarrassing in the event of a panic attack or panic-like symptoms. The criteria is met when the anxiety is specifically related to these situations and is not accompanied by more generalized worries.
/ROOT/ANXIETYROOT/SUB/MED/FEAR/PANICSEV/PLACE/AGORAPHOBIA,AGORAPHOBIA,PLACE,Agoraphobia
/ROOT/ANXIETYROOT/SUB/MED/FEAR/PANICSEV/PLACE/SPERATION,SPERATION,PLACE,Determine if the patient experiences anxiety or worry specifically related to separation from major attachment figures. The criteria is met when the patient's anxiety is focused on separation and does not involve more generalized worries.
/ROOT/ANXIETYROOT/SUB/MED/FEAR/PANICSEV/PLACE/SPERATION/SEPANX,SEPANX,SPERATION,Separation Anxiety Disorder
