Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I've been feeling really down lately, and that's actually why I'm here today. Just yesterday, I sat on my couch for hours, staring blankly at the wall while my friends were texting me to hang out. I couldn’t bring myself to respond, even though I knew I should reach out. It's like I’m stuck in this fog where nothing seems to matter."
SUB,True,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I've been really struggling since I started taking a new medication for my anxiety about two weeks ago. It was supposed to help, but instead, I find myself feeling increasingly hopeless and lethargic. Just last night, I lay in bed unable to sleep, feeling completely drained and unmotivated, and I realized that my mood has changed significantly since I began the dosage."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I've had moments of feeling down, I wouldn't say those feelings are the central focus of my life or that they cause me significant distress. For instance, I still manage to go to work every day and engage with my colleagues, even if I don’t feel like socializing outside of that. Last weekend, I went to a family gathering, and while I felt a little low, I was able to enjoy conversations and even laugh at some old jokes. So, it doesn't feel overwhelming to me; I can still function."
SI,True,substance intoxication; substance withdrawal;other adverse effect of medication,
SIDD,False,substance/medication-induced depressive disorder,
MED,False,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I've been feeling down, but I don’t think it’s linked to any medical condition. I was in good health when my mood started to shift, and I’ve been keeping up with my regular check-ups. I remember a particularly tough day at work last week where I felt a wave of sadness wash over me, but it wasn't due to anything physical—more so the stress of deadlines and personal issues. I really believe my mood issues stem from that rather than any health problem."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","Lately, I’ve noticed that my attention span seems to be just fine; I can still focus on tasks at work, like completing reports or participating in team meetings without any issue. For example, just yesterday I managed to complete a project ahead of schedule and even helped a colleague troubleshoot their work. I can also remember details from conversations clearly, and although I sometimes feel down, it hasn’t affected my ability to learn new information or interact with others."
MNEUD,False,"major or mild neurocognitive disorder due to another medical condition, with behavioral disturbance",
MEDDD,False,Depressive disorder due to another medical condition,
MANIC,False,the patient has reported clinicallly significant manic or hypomanic symptoms,"I haven’t experienced any manic or hypomanic symptoms at all. In fact, I find myself feeling quite the opposite. Just last week, I had a day where I felt unusually low and unmotivated, despite being invited out by friends to celebrate a birthday. I chose to stay home instead, unable to muster the energy or excitement to join in, which is far from any high-spirited behavior I’ve heard described in manic episodes."
MANIC_DUR,False,"criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I have not experienced any periods of elevated or expansive mood. Just last month, there was a work event where my colleagues were celebratory, and I felt completely indifferent to the excitement around me. I didn't feel a surge of energy or the urge to participate; instead, I just wanted to escape the noise and go home to my quiet space. It felt more like a burden than an opportunity to engage."
MANIC_DUR_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced any delusions or hallucinations, and I can confidently say that my thoughts have always felt grounded in reality. For example, while I’ve had moments of intense sadness, I’ve never seen things that aren't there or believed in things that aren't true. Just last week, I had a clear conversation with my friend about our plans for the weekend, and everything felt entirely normal and rational."
MANIC_DUR_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I haven’t noticed any psychotic symptoms during my low moods. Just last weekend, I felt really down while reflecting on my life, but there were no delusions or hallucinations. I watched a movie with my sister, and while I felt sad, everything I saw and heard felt completely real and understandable."
BPIPSYC,False,Bipolar I disorder with psychotic features,
SCHIZ,False,Schizophrenia spectrum or other psychotic disorder,
BPI,False,Bipolar I disorder,
MANIC_DUR_HYPO,False,"Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","I can't say I've experienced any hypomanic episodes. Recently, for instance, I had a week where I felt more tired than usual and found it hard to get out of bed, even when my friends wanted to go out for dinner. I was just sitting at home feeling low and uninterested in anything, which is far from having an elevated mood or increased energy."
MANIC_DUR_HYPO_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I've never had any experiences with delusions or hallucinations. Just last week, I was having a normal conversation with my co-worker about upcoming projects, and everything felt completely real and rational. While I have been feeling down lately, I can clearly differentiate those feelings from any sort of disconnect with reality."
MANIC_DUR_HYPO_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I haven't noticed any psychotic symptoms during my mood fluctuations. Just the other day, I was feeling particularly low while organizing my thoughts at a coffee shop, but I was fully aware of my surroundings and engaged with the barista when ordering. I could clearly follow the conversation and understood the jokes they made—everything felt entirely normal despite my sadness."
BPIIPSYC,False,Bipolar II disorder with psychotic features,
SCHIZ2,False,Schizophrenia spectrum or other psychotic disorder,
BPII,False,Bipolar II disorder,
MANIC_DUR_HYPO_DUR,False,The criteria are met if the patient explicitly reported at least 2 years of hypomanic symptoms along with periods of depressed mood. Duration should be explicitly asked.,"I can't say I've experienced hypomanic symptoms for two years—it's actually quite the opposite. Over the past few months, there have been days when I feel particularly low and unmotivated, like last week when I spent an entire Saturday just lying on the couch, unable to find the will to do anything, but those feelings have not been accompanied by any elevated mood or energy. I know I’ve had ups and downs in my life, but nothing sustained or consistent that could fit that description."
CYC,False,Cyclothymic,
OTHBP,False,Other specified bipolar and related disorders or unspecified bipolar and related disorders,
DEPEPS,False,"The criteria are met if the patient has experienced one or more major depressive episodes without any history of manic or hypomanic episodes. To determine if a major depressive episode has occurred, the following aspects must be examined:
1. Interest or pleasure in doing things
2. Sleeping conditions
3. Energy level
4. Appetite
5. Feelings of self-worth
6. Concentration when doing things
7. Changes in movement or speech
8. Suicidal ideation
9. Duration of at least 2 weeks
The decision should be based on an overall assessment of the severity of these aspects, considering the patient's responses across all areas (not all aspects need to be abnormal). The duration of symptoms should be explicitly asked and confirmed as lasting at least 2 weeks before making a final decision. Be really caucious when making the decision!","Lately, I've noticed that I've been sleeping a lot more than usual; I often find myself sleeping over ten hours a night, but I still wake up feeling exhausted. Last Saturday, I spent the entire day in bed, not because I wanted to, but because I just couldn't find the energy to get up. I still manage to go to work, but each day feels like a struggle to get through, and I can't shake this pervasive feeling of lethargy that seems to linger, even when I try to engage in activities I usually enjoy."
DEPEPS_HALL,False,The criteria are met if the patient acknowledges having a history of delusions or hallucinations.,"I've never had any experiences with delusions or hallucinations. Just last week, I was talking to my friend at a café about our favorite movies, and everything felt completely real and logical. Even during my low moments, like when I was feeling sad at home, I never thought I saw or heard things that weren't there; my thoughts have always been grounded in reality."
DEPEPS_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I've been feeling pretty low for a while now, but I haven’t noticed any psychotic symptoms during those times. Just last week, I spent an afternoon at my favorite coffee shop, and while I was really down, I could still clearly hear the barista’s chatter and enjoy the atmosphere. Everything felt normal around me; I was fully aware of my surroundings and didn't experience any strange thoughts or perceptions."
DEPEPS_HALL_PSYC_DUR,False,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I wouldn't say my depressive episode has lasted for two years or longer. In fact, I can pinpoint when it started since it coincided with starting my new anxiety medication about two weeks ago. Before that, I had some low days, but nothing felt particularly prolonged or severe, so I can't say I've been in a constant state of depression for an extended period."
MDDPDDPSYC,False,"Major depressive disorder with psychotic features, plus persistent depressive disorder",
MDDPSYC,False,Major depressive disorder with psychotic features,
SCHIZ3,False,Schizophrenia spectrum or other psychotic disorder,
DEPEPS_HALL_DUR,False,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I wouldn't say I've been feeling low for a duration of two years or longer; my current mood shift began just a couple of weeks ago after I started a new anxiety medication. Before that, I had occasional low days, but they were brief and didn't feel overwhelming. For instance, I remember feeling a bit down last month but still managed to enjoy a family event and engage in conversations without it affecting my mood too much."
MDDPDD,False,Major depressive disorder plus persistent depressive disorder,
MDD,False,Major depressive disorder,
DUR,False,"The criteria are met if the patient explicitly reported experiencing a depressed mood more days than not for at least 2 years, accompanied by associated symptoms. The duration should be explicitly asked","I wouldn't say I've been experiencing a depressed mood for more than two years. In fact, recently, my feelings of sadness began just a couple of weeks ago when I started a new anxiety medication. Before that, while I'd have the occasional low day, it never lasted long enough to feel like it was a consistent problem impacting my life."
PDD,False,persistent depressive disorder,
DEPFW,False,"The criteria are met if the patient experiences a depressed mood that is regularly present in the final week before the onset of menses and becomes absent in the week after menses. This mood disturbance must be associated with clinically significant distress or interference with work, school, usual social activities, or relationships with others.","In the week leading up to my period, I've noticed that my mood does fluctuate a bit, but it doesn’t seem to follow any specific pattern. For example, last month I felt a little more irritable and teary at work, but I wouldn’t say it caused me significant distress. After my period started, I felt back to my usual self and was able to engage with my friends again without any issues. So, while I do feel a little different at times, it's not enough to interfere with my life or relationships."
PDYSD,False,Premenstrual dysphoric disorder,
