Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I've been feeling really low lately, especially since my grandmother passed away a few months ago. I used to enjoy hanging out with friends at the café downtown, but now I find myself avoiding those plans and just staying home. It feels tough to even get out of bed some days, and I worry I'm dragging everyone down with me."
MANIC,True,the patient has reported clinicallly significant manic or hypomanic symptoms,"Lately, there have been days when I feel a rush of energy that feels almost overwhelming. Just last week, I stayed up all night organizing a huge party for my friends, getting everything ready and even planning out games and activities. The next morning, I realized I hadn't slept and felt invincible, talking a mile a minute, but now I worry if I overdid it. It's strange because one minute I feel on top of the world, and the next, I crash back into that low place."
MANIC_DUR,False,"criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I wouldn’t say I’ve experienced a manic episode. While I did have that night of organizing the party, it’s more of an occasional burst of energy rather than an ongoing elevated mood. Generally, I feel pretty low and unmotivated, and those high-energy moments are rare and usually followed by a long period of feeling down. So, it hasn’t lasted for a week or more like what I’ve read about manic episodes."
MANIC_DUR_HYPO,False,"Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","I haven't experienced an extended period of elevated mood or increased energy that would meet the criteria for a hypomanic episode. Although I had that one intense night organizing the party, it was just a brief spike in energy, and I quickly fell back into my usual low state. I typically struggle to maintain any kind of consistent mood and mostly feel drained and unmotivated, so I don't think I've met that threshold."
MANIC_DUR_HYPO_DUR,True,The criteria are met if the patient explicitly reported at least 2 years of hypomanic symptoms along with periods of depressed mood. Duration should be explicitly asked.,"I've noticed that for the past couple of years, I've had these cycles where I feel incredibly energetic for a few weeks at a time, planning activities and even taking on extra shifts at work. Last month, I spent three straight weekends throwing together surprise outings for my friends, feeling like I could conquer anything. But then, those high times always crash into these deep lows where it feels like even getting out of bed is a monumental task, and I end up spending days in a funk, struggling to motivate myself. It's a tough pattern that seems to repeat itself, and I can't help but wonder if it's something more."
CYC,True,Cyclothymic,
SUB,False,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I don’t think my low mood is linked to any substances. I occasionally have a glass of wine with dinner, maybe once or twice a week, but it never feels like it impacts my mood significantly. My lack of energy and motivation seems to stem more from my grief over my grandmother's death rather than anything related to alcohol or medications."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I did experience a low mood after my grandmother passed away, it's not something that severely impacts my life on a daily basis. I still go to work and manage to complete my tasks, even though I might not find joy in them like I used to. It's more of a temporary sadness that comes and goes, rather than something I feel needs serious clinical attention."
SIDD,False,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
MED,False,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I don’t think my low mood is tied to any physical health issues. I've been generally healthy, aside from occasional headaches from stress, but I've been able to manage those with over-the-counter medication. My feelings of sadness seem more related to the emotional impact of losing my grandmother rather than any ongoing medical condition influencing my mood."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I've been noticing that I can still focus well when working, even if I don’t feel motivated. Just the other day, I was able to complete a project at work that required detailed attention, and I found myself able to remember all the key points without any trouble. While I do have moments where I feel overwhelmed, especially in social situations, my cognitive abilities in terms of focus and memory still seem intact, so I don’t think there's been a noticeable decline."
MNEUD,False,"major or mild neurocognitive disorder due to another medical condition, with behavioral disturbance",
MEDDD,False,Depressive disorder due to another medical condition,
MANIC_DUR_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced delusions or hallucinations. I remember a time last summer when I was working late on a project at the office, and I started feeling really tired. Sometimes that makes me see shadows in the corner of my eye, but I know it’s just the lighting or my tiredness playing tricks on me. It’s never been anything that feels real or persistent, just my imagination taking over when I’m exhausted."
