Node,Met_Criteria,Description,Patient_Story
ANXIETYROOT,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has anxiety mood,"As I sat in the waiting room, I couldn't help but fidget with my hands, feeling a knot tightening in my stomach. When the psychiatrist finally called me in, I hesitated before answering her friendly question about what brought me in today, my voice barely above a whisper as I admitted I was feeling overwhelmed and anxious about everything in my life lately."
SUB,False,"Determine if the patient's anxiety is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MED,False,"Determine if the patient's anxiety mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
FEAR,False,Determine if the patient's anxiety occur in the context of an abrupt surge of intense fear and discomfort that reaches a peak within minutes. The criteria is met when the patient's experience is marked by a rapid escalation of fear or anxiety.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
PANICSEV,False,"Determine if the patient experiences recurrent, unexpected panic attacks that are clinically significant. The criteria is met when the patient reports multiple episodes of sudden, intense fear or discomfort that occur without warning.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
PLACE,False,Determine if the patient experiences anxiety about being in places or situations where escape might be difficult or embarrassing in the event of a panic attack or panic-like symptoms. The criteria is met when the anxiety is specifically related to these situations and is not accompanied by more generalized worries.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SPERATION,False,Determine if the patient experiences anxiety or worry specifically related to separation from major attachment figures. The criteria is met when the patient's anxiety is focused on separation and does not involve more generalized worries.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SOCIAL,False,Determine if the patient experiences anxiety or worry specifically about social situations where they are exposed to the scrutiny of others. The criteria is met when the anxiety is focused on social interactions and does not include more generalized worries.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
FEAROBJ,False,"Determine if the patient experiences anxiety about exposure to a feared object (e.g., spiders) or situation (e.g., getting an injection, flying). The criteria is met when the anxiety is specifically triggered by the presence or anticipation of the feared object or situation.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
HEALTH,True,Determine if the patient experiences anxiety specifically about their health and the possibility of having or acquiring a serious illness. The criteria is met when the anxiety is focused on health concerns and does not involve more generalized worries.,"Lately, I've been feeling an overwhelming sense of dread about my health. Just last week, I was at a family gathering, and I couldn't shake the fear that I might have developed a serious illness after hearing about my uncle's recent diagnosis. I found myself constantly checking for symptoms online and obsessively monitoring my body for any signs of something wrong, which only made my anxiety worse."
SOMATIC,False,Determine if the patient experiences somatic symptoms that are distressing. The criteria is met when the physical symptoms cause significant discomfort or distress to the patient.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SEV_PHYS,False,Determine if the patient's belief about having a serious physical illness reaches a delusional intensity. The criteria is met when the conviction is strongly held despite clear evidence to the contrary.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
ILLANX,True,Illness Anxiety Disorder,"Lately, I've been consumed by thoughts that something might be seriously wrong with me. Just last week, while sitting at my desk at work, I felt a strange twinge in my chest and immediately spiraled into panic, convinced I was having a heart attack. I spent hours researching symptoms online, and even after a visit to the doctor who assured me I was fine, I couldn't shake the feeling that I was just missing something critical about my health."
SUB_DIST,False,Determine if the patient's anxiety mood is associated with disturbance in attention and awareness is characterized by a fluctuating course. The criteria is met when there is evidence of changes in the patient's level of attention or alertness that vary over time.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SIDELIRIUM,False,Substance Intoxication Delirium; Substance withdrawal delirium; Medication-Induced Delirium,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SUB_DIST_SEV,False,"Evaluate if the anxiety mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SIANX,False,Substance/Medication-Induced Anxiety Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SI,False,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MED_DIST,False,"Evaluate if the anxiety mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MEDDELIRIUM,False,Delirium Due to Another Medical Condition,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MED_DIST_SEV,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MNEUD,False,"Major or Mild Neurocognitive disorder due to another medical condition, with behavioral disturbance","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MEDANX,False,Anxiety Disorder Due to Another Medical Condition,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
PANICATTACK,False,Panic Attack,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
PANICDISORDER,False,Panic Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
AGORAPHOBIA,False,Agoraphobia,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SEPANX,False,Separation Anxiety Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SOCIALANX,False,Social Anxiety Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SPEPHOBIA,False,Specific Phobia,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SOMATICD,False,Somatic Symptom Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
PSYCHD,False,Psychotic Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
DISCARD,False,"Check if the patient feels anxious about getting rid of personal items, leading to a buildup of possessions that clutter their living spaces. The criteria is met when this anxiety makes it hard to let go of items, causing clutter that affects daily living.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
HOARDINGD,False,Hoarding Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
APPEARANCE,False,Check if the patient feels anxious or worried about a perceived flaw in their appearance that is not noticeable to others. The criteria is met when the concern about this imagined defect causes significant distress.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
BODYDD,False,Body Dysmorphic Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
REC,False,"Check if the patient experiences anxiety linked to repeated worries, thoughts, or excessive overthinking. The criteria is met when these concerns are persistent and cause significant distress.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
INTRUSIVE,False,"Check if the patient has recurring thoughts that are experienced as intrusive, unwanted, and conflicting with their sense of self. The criteria is met when these thoughts cause significant distress and are not aligned with the patient's values or beliefs.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
OBSESSIVE,False,Obsessive-complusive Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
GENERALIZEDANX,False,Generalized Anxiety Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
TRAUMA,False,"Check if the patient experiences anxiety related to exposure to a severe traumatic event, accompanied by intrusive symptoms (such as flashbacks or nightmares), avoidance of reminders of the trauma, negative changes in thoughts and mood, and increased arousal or reactivity. The criteria is met when these symptoms are present and cause significant distress.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
TRAUMA_DUR,False,"Criteria met if the patient's stress disorder symptoms last more than a month, the duration should be explicitly asked","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
PTSD,False,Post-Traumatic Stress Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
ASD,False,Acute Stress Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MANIC,False,"Check if the patient experiences anxiety that is associated with a manic episode, a hypomanic episode, or a major depressive episode. The criteria is met when the anxiety occurs alongside one of these mood episodes and causes significant distress.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MDDANX,False,"Major Depressive Episode with Anxious feawtures in major depressive, bipolar I, or BipolarII disorder","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
OTH,False,"The criteria are met if the patient exhibits a maladaptive response to a psychosocial stressor, meaning their response is disproportionate or ineffective, leading to significant distress or impairment in functioning.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
PSYCHSTRESSOR,False,Check if the patient's symptoms occur in response to a psychosocial stressor. The criteria is met when the anxiety or distress is directly linked to a specific life event or stressor.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
NORMALANX,False,Normal Anxiety,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
ADJD,False,Adjustment Disorder With Anxiety,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
OTHANX,False,Other specified anxiety disorder; Unspecified anxiety disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
NORMAL,False,No Anxiety Mood,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
