Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I've been feeling really down lately, and it’s been hard to find joy in things I used to love. Just last week, I went to a family gathering, but I felt out of place and sat alone in the corner, struggling to engage in conversations. I think that's why I'm here today; I just want to understand what's happening to me."
MANIC,True,the patient has reported clinicallly significant manic or hypomanic symptoms,"Lately, I've been experiencing these intense bursts of energy that seem to come out of nowhere. Just last weekend, I organized a spontaneous party at my apartment, inviting friends at the last minute, and I ended up staying up all night, cleaning, dancing, and chatting with everyone. I felt invincible, like I could take on the world, but then I crashed the next day and felt drained and anxious about everything."
MANIC_DUR,False,"criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I wouldn’t say I’ve experienced a week of consistently elevated mood or energy. Just a few days ago, I was on a short trip with friends, and while I did have some fun moments, I mostly felt anxious and overwhelmed. I remember trying to join in with the group, but I ended up stepping away to sit on a bench alone, feeling drained instead of energized."
MANIC_DUR_HYPO,True,"Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","There was a stretch last month where I felt like I was on top of the world for about a week. I remember one morning specifically when I woke up at 5 AM, bursting with energy, and decided to go for a long run in the park. I felt invincible, chatting with strangers and even helping someone fix their bike on the spot. I threw a big barbecue that weekend, inviting everyone I knew, and we ended up dancing in my backyard until the sun came up. However, I did notice that after those days of high energy, I quickly spiraled back down, feeling exhausted and anxious again. It’s been a rollercoaster, and I just can’t seem to make sense of it all."
MANIC_DUR_HYPO_HALL,True,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"There was a time a few months ago when I experienced something really strange. I was sitting at home alone one evening, and I started to hear voices whispering my name. At first, I thought it was just my imagination, but it felt so real that I actually got up to check if someone was in the house. I remember feeling terrified and confused, thinking maybe I was losing my mind. This isn't something I talk about often, but it left me feeling shaken for days."
MANIC_DUR_HYPO_HALL_PSYC,True,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"During the past month, I had a period where I felt incredibly high, almost euphoric, for a week. It started when I returned from a trip; I felt so energized that I rearranged my entire apartment and invited over a bunch of friends for an impromptu celebration. However, during that time, I also began to hear voices when I was alone, which scared me. They seemed to call my name, and I could never quite shake the feeling that someone was lurking nearby, especially when I was in a low mood afterward. It all felt so chaotic, as if my mind was playing tricks on me during those manic swings, and that's why I'm here talking to you now."
BPIIPSYC,True,Bipolar II disorder with psychotic features,
SUB,False,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I’ve never really dealt with substance use, so I don’t think that’s contributing to how I feel. I’ve always preferred to stay away from alcohol or drugs; in fact, I was at a gathering last month where everyone was drinking, and I sipped on soda the whole time. My mood dips seem to come out of nowhere, not related to any substances."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I've been feeling down lately, I wouldn't say it's been severe enough to require clinical attention. For instance, I had a rough day last week when my boss criticized my work, and I went home feeling disheartened. However, I still managed to go out with friends later that week and laughed along with them, so it doesn't seem to be a constant issue that disrupts my daily life."
SIDD,False,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
MED,False,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I don’t have any major medical conditions affecting my mood. I’ve been generally healthy, but I did recently come down with a bad cold that lasted a week. During that time, I felt more fatigued, but even after recovering, my mood didn’t seem to change much. I still find myself feeling down from time to time, especially when I’m overwhelmed with work, rather than linked to any physical health issues."
