Node,Met_Criteria,Description,Patient_Story
ELEVATEDMOOD,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has an elevated or expansive mood,"I have elevated mood. I feel like I am on top of the world. I have been feeling incredibly euphoric, as if I could accomplish anything. I remember staying up late talking with friends, planning an elaborate trip that I impulsively decided we should take, and I even booked the hotel without thinking twice about the cost. However, it all came crashing down when I suddenly felt depressed and withdrawn, barely able to get out of bed for a few days afterward. The stark contrast between those highs and lows has left me feeling a bit confused and concerned about what’s happening to me."
SUB,False,"Determine if the patient's elevated or expansive mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","During our conversation, I mentioned that my mood has been particularly high lately, especially after I returned from that beach trip. I’ve been feeling this way without any influence from substances; I don’t drink alcohol, nor do I use drugs or take any medication. It’s just that the joy of being by the ocean and experiencing life so vividly has really uplifted my spirits."
MED,False,"Determine if the patient's elevated or expansive mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I’ve been feeling an uplifted mood lately, especially after my vacation, but I don’t think it’s linked to any medical conditions. I’m generally healthy and have no chronic illnesses. I do sometimes get headaches from stress, but they’re manageable and don’t really affect my mood; my happiness comes from the wonderful experiences I've had recently."
MANIC,False,"the patient has reported clinically significant manic. criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","While I’ve felt an uplifted mood and increased energy since my beach trip, it hasn't lasted for a full week like a manic episode would. After returning home, I still enjoy activities like jogging or going out with friends, but my mood levels out quickly, and I don't feel excessively irritable or expansive. I can think of times where I've had bursts of excitement, but they usually last only a day or so before I return to my usual self."
HYPOMANIC,False,"The patient has reported hypomanic and at least one Major Depressive Epsidoe. Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","I can't recall ever experiencing a Major Depressive Episode. I remember feeling low after a tough breakup last year, but it lasted only a couple of weeks, and I quickly found myself moving on and even enjoying new activities. Lately, my mood has been steady; other than brief moments of feeling down, like when I couldn't go to a concert I had been looking forward to, I’ve been managing just fine without any extreme highs or lows."
HYPOMANICDEP,False,The criteria are met if the patient explicitly reported at least 2 years of hypomanic symptoms along with periods of depressed mood. Duration should be explicitly asked.,"I think I might have had a few moments where I felt really upbeat, especially after that beach trip, but I can't say it's been two years of those feelings. I remember a couple of weeks after my breakup last year when I felt low, but it was short-lived, and I quickly snapped out of it. My mood has been pretty stable overall, so I don’t think I meet the criteria for hypomanic symptoms combined with depression over any extended period."
GAMB,False,The criteria is met if elevated or euphoric mood confined to periods of gambling,"I do enjoy playing poker with friends every now and then, but my mood doesn't really change when I'm gambling. Just last weekend, we gathered at Jake's house for a game night; I had fun laughing and chatting with everyone, but my mood was pretty much the same throughout the night as it is any other day. I didn't feel particularly euphoric or elevated when I won a few hands, and even when I lost, I just shrugged it off without much thought. It's just a casual pastime for me, not something that alters my emotional state."
OTH,False,"The criteria are met if the patient exhibits a maladaptive response to a psychosocial stressor, meaning their response is disproportionate or ineffective, leading to significant distress or impairment in functioning.","I remember when my boss unexpectedly piled a new project on my desk right before the deadline, and while it could have stressed me out, I managed to set up a clear plan and delegate tasks to my team. Instead of feeling overwhelmed, I organized a meeting to discuss our approach, and we tackled the challenge together, which ultimately brought us closer and resulted in a successful presentation. I felt a sense of relief and accomplishment afterward, and it didn’t disrupt my daily routine at all; I still had time to enjoy my evening jogs."
NOAMLELEVATED,True,"""Normal"" elevated or euphoric mood","After that beach trip, I've been on a bit of a high—it's like every little thing brings me joy. Just last week, I took my friends out for ice cream, and we ended up laughing and joking for hours, feeling like we were on top of the world. I can't help but smile when I think about those moments, and even mundane tasks like going to work feel exciting, as if I have this newfound energy flooding my days."
SUB_SEV,False,"Evaluate if the elevated or expansive mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I've been feeling really happy and joyful since my beach trip, I don't think it's a problem that requires clinical attention. My friends even commented on how lively I seemed, but I feel like it's just part of enjoying life and the beautiful moments I've had recently. I remember hanging out with them at a park last weekend, playing frisbee, and having a great time without any signs of distress or impairment in my day-to-day activities."
SIBP,False,Substance/Medication-Induced Bipolar Disorder,"I’ve never used any substances or medications that would affect my mood. I remember a time when I went out to celebrate a friend's birthday, and we had soda and snacks; I didn't even feel tempted to order an alcoholic drink. It was a fun night filled with laughter, and I felt completely in control of my emotions and behavior."
SI,False,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication,"I’ve never experienced any substance intoxication or withdrawal. Just the other weekend, I hung out at a friend's place for a movie night, and while they enjoyed some wine, I stuck to my sparkling water and remembered how much I appreciate being clear-headed and present in those moments. It felt nice to engage in lively discussions without any influence from alcohol or drugs."
