Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I walked into the psychiatrist's office, my heart heavy with a sense of dread. As I sat down, I glanced around at the neutral-colored walls, feeling completely out of place. ""I guess I’m here because everything seems to feel just... gray lately,"" I admitted, my voice barely above a whisper. I couldn't shake off the weight of the sadness that clung to me, and now, speaking to someone about it felt like my only option."
DEPEPS,True,"The criteria are met if the patient has experienced one or more major depressive episodes without any history of manic or hypomanic episodes. To determine if a major depressive episode has occurred, the following aspects must be examined:
1. Interest or pleasure in doing things
2. Sleeping conditions
3. Energy level
4. Appetite
5. Feelings of self-worth
6. Concentration when doing things
7. Changes in movement or speech
8. Suicidal ideation
9. Duration of at least 2 weeks
The decision should be based on an overall assessment of the severity of these aspects, considering the patient's responses across all areas (not all aspects need to be abnormal). The duration of symptoms should be explicitly asked and confirmed as lasting at least 2 weeks before making a final decision. Be really caucious when making the decision!","For the past month, I’ve struggled to find joy in the things I once loved, like cooking or going for long runs in the park. My sleep has been a battlefield; I often lie awake until 3 AM, wrestling with my thoughts, only to wake up feeling like I’ve been hit by a truck. I’ve noticed that I rarely feel hungry anymore, and even when food is in front of me, I have to force myself to eat small bites. There have been days when I felt so low that I questioned my self-worth, thinking I'm a burden to my friends and family. All of this has felt like a dark cloud hanging over me for more than two weeks now, and it’s become harder to concentrate on even simple tasks at work, leaving me exhausted and anxious."
DEPEPS_HALL,True,The criteria are met if the patient acknowledges having a history of delusions or hallucinations.,"I sat in my dimly lit living room, the shadows seeming to twist and flicker around me. Just last week, I experienced what I can only describe as a vivid conversation with my late grandmother; I could hear her voice clearly, comforting me as if she were right there beside me. It felt so real that I almost reached out to touch her, but when I turned, there was only silence. I’ve also had moments where I believe I see figures in the corners of my vision, but when I look closely, they vanish. It’s been unsettling, and I can’t help but question my grip on reality."
DEPEPS_HALL_PSYC,True,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"Just last month, during an intense bout of depression, I started hearing my grandmother’s voice again, but this time it felt like she was scolding me for not taking better care of myself. It was particularly vivid one night when I was lying in bed, the room dark and suffocating, making me feel even more trapped in my thoughts. I questioned whether I was actually losing my mind or if this was just a manifestation of my overwhelming sadness, but it all seemed to happen during these deep depressions I was experiencing, which felt like they had no end."
DEPEPS_HALL_PSYC_DUR,False,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I took a deep breath and told the psychiatrist, “I’ve been feeling this way for just over a month now. I can’t pinpoint an exact start because it feels like a gradual build, but I wouldn’t say it’s been two years or more. Sometimes, I think about how long I've felt low, but I know it's definitely not been that long. It’s more like a dark phase that I hope will pass.”"
MDDPSYC,True,Major depressive disorder with psychotic features,
SUB,False,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I don't use any substances like drugs or alcohol, and I’ve been careful with my medications as well. My depressed mood seems to stem from the overwhelming sadness and struggles I've been facing in my life, rather than any physiological effects from substances. Just last week, I had a heart-to-heart with my friend during a coffee catch-up, and I realized my mood has been linked to the stress and grief from losing my job, not from anything I’ve ingested."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I have experienced feelings of sadness and difficulty finding joy, I wouldn’t say they dominate my life or require clinical attention. Last weekend, I spent time with friends at a local festival, and despite feeling a bit of heaviness inside, I was able to laugh and enjoy myself. It’s more like I have ups and downs, but I can still engage in social activities and maintain responsibilities at work without significant impairment."
SIDD,False,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
