path,name,parent,Description
/ROOT,ROOT,, Starting the interview
/ROOT/MDDROOT,MDDROOT,ROOT,"The following stages are 2 critical stages that happen in this topic.\\n1. Figuring out the main reason to visit and ice-break after. When the user greet with you, give a warm prase and try to delight user's day \\n 2. All of the folloiwng screening question MUST BE explicitly asked to determine if the criteria is met or not: [ 1) Have you ever had a period where you felt down? Not just for a week or two but, in fact, for many weeks and, perhaps, months?, 2) Along with that, did you find you had no energy, had no interest in things, and overall had great difficulty functioning?, 3) Has this ever happened to you before?""] Notice that it is not necessary that all three questions's answer should be yes. This is important: If the answer to any of the questions is yes, then the criteria is met. Make all the questions have been asked, otherwise ask_more_details"
/ROOT/MDDROOT/SUB,SUB,MDDROOT,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.Example of substances or medications that can cause depression:\\n Substances of Abuse\\n 1.\\tAlcohol: Chronic use or withdrawal can contribute to depressive symptoms.\\n 2.\\tCannabis: Long-term use or withdrawal may induce mood disturbances.\\n 3.\\tCocaine: Particularly during withdrawal, individuals can experience severe depressive symptoms.\\n 4.\\tAmphetamines or Methamphetamines: Similar to cocaine, withdrawal can lead to depression.\\n 5.\\tOpioids: Chronic use or withdrawal may contribute to a depressed mood.\\n 6.\\tHallucinogens: Some individuals may experience prolonged depressive states after use (e.g., \\u201cbad trips\\u201d).\\n 7.\\tInhalants: Chronic use has been associated with mood disorders.\\n 8.\\tSedatives, Hypnotics, and Anxiolytics: Withdrawal from benzodiazepines or barbiturates can cause depression.\\n 9.\\tNicotine: Withdrawal from smoking cessation can cause temporary depressive symptoms.\\n\\n Medications\\n 1.\\tAntihypertensives: Beta-blockers (e.g., propranolol),Clonidine,Methyldopa\\n 2.\\tSteroids: Corticosteroids (e.g., prednisone, dexamethasone), Anabolic steroids\\n 3.\\tHormonal Medications: Oral contraceptives, GnRH agonists (e.g., leuprolide), Thyroid medications (in cases of over- or under-treatment)\\n 4.\\tNeurological Medications: Anticonvulsants (e.g., topiramate, levetiracetam), Parkinson\\u2019s medications (e.g., levodopa)\\n 5.\\tAntibiotics and Antivirals: Fluoroquinolones (e.g., ciprofloxacin), Efavirenz (HIV medication)\\n 6.\\tOncological Agents: Interferons (e.g., interferon-alpha), Tyrosine kinase inhibitors\\n 7.\\tImmunosuppressants: Cyclosporine, Tacrolimus\\n 8.\\tGastrointestinal Medications: H2 blockers (e.g., ranitidine, cimetidine)\\n 9.\\tOther Medications: Isotretinoin (used for acne), Barbiturates, Benzodiazepines (especially during withdrawal)\\n\\n Other Substances\\n 1. Caffeine: Excessive use or withdrawal can cause mood disturbances.\\n 2. Heavy metals: Lead or mercury exposure can cause neurological symptoms, including depression."
/ROOT/MDDROOT/SUB/SUB_SEV,SUB_SEV,SUB,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition."
/ROOT/MDDROOT/SUB/SUB_SEV/SIDD,SIDD,SUB_SEV,substance/medication-induced depressive disorder
/ROOT/MDDROOT/SUB/SUB_SEV/SI,SI,SUB_SEV,substance intoxication; substance withdrawal;other adverse effect of medication
/ROOT/MDDROOT/SUB/MED,MED,SUB,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.Example of physilogical effects of a general medical condition that can cause depression:\\n Endocrine Disorders\\n 1.\\tHypothyroidism: Reduced thyroid hormone levels can slow metabolism, leading to fatigue, weight gain, and depressed mood.\\n 2.\\tHyperthyroidism: Excess thyroid hormones can cause mood instability, anxiety, or depression due to overactivation of the nervous system.\\n 3.\\tCushing\\u2019s Syndrome: Elevated cortisol levels can lead to depressive symptoms, insomnia, and irritability.\\n 4.\\tAddison\\u2019s Disease: Insufficient cortisol levels can result in fatigue, apathy, and depressive symptoms.\\n 5.\\tDiabetes Mellitus: Chronic illness burden and glucose dysregulation may contribute to depressive symptoms.\\n 6.\\tPolycystic Ovary Syndrome (PCOS): Hormonal imbalances can affect mood, often leading to depression.\\n\\n Neurological Disorders\\n 1.\\tParkinson\\u2019s Disease: Neurodegeneration in dopaminergic pathways can lead to depression, often preceding motor symptoms.\\n 2.\\tAlzheimer\\u2019s Disease: Early cognitive decline and brain changes contribute to mood disturbances.\\n 3.\\tStroke: Post-stroke depression is common, especially with lesions affecting the left hemisphere or frontal lobes.\\n 4.\\tEpilepsy: Seizures, particularly temporal lobe epilepsy, are associated with mood disturbances.\\n 5.\\tMultiple Sclerosis: Demyelination and neuroinflammation can lead to fatigue, mood swings, and depression.\\n 6.\\tTraumatic Brain Injury (TBI): Damage to brain regions involved in mood regulation can lead to long-term depression.\\n\\n Cardiovascular Disorders\\n 1.\\tCoronary Artery Disease: Reduced blood flow and oxygen delivery to the brain, as well as the psychosocial burden of heart disease, can lead to depressive symptoms.\\n 2.\\tCongestive Heart Failure (CHF): Chronic fatigue and reduced physical capacity are linked to depression.\\n 3.\\tHypertension: Stress and vascular changes in the brain may contribute to mood disturbances.\\n\\n Chronic Pain Syndromes\\n 1.\\tFibromyalgia: Chronic pain, fatigue, and sleep disturbances often coexist with depression.\\n 2.\\tChronic Migraine: Frequent, debilitating pain can lead to mood disorders.\\n 3.\\tArthritis: Chronic joint pain and inflammation can contribute to depressive symptoms.\\n\\n Autoimmune and Inflammatory Disorders\\n 1.\\tSystemic Lupus Erythematosus (SLE): Inflammatory processes in the brain (neuropsychiatric lupus) can lead to depression.\\n 2.\\tRheumatoid Arthritis: Inflammation and chronic illness burden contribute to depressive symptoms.\\n 3.\\tInflammatory Bowel Disease (IBD): Crohn\\u2019s disease and ulcerative colitis are linked to depression due to chronic inflammation and illness impact.\\n\\n Infectious Diseases\\n 1.\\tHIV/AIDS: Direct effects of the virus, chronic inflammation, or psychosocial stressors can cause depression.\\n 2.\\tSyphilis: Neurosyphilis can cause mood changes, including depression.\\n 3.\\tLyme Disease: Late-stage Lyme disease may lead to neuropsychiatric symptoms, including depression.\\n 4.\\tViral Infections: Certain viral illnesses (e.g., Epstein-Barr virus, COVID-19) can have lingering neuroinflammatory effects, contributing to mood disturbances.\\n\\n Hematologic and Oncological Conditions\\n 1.\\tAnemia: Reduced oxygen delivery to tissues, including the brain, can cause fatigue and depression.\\n 2.\\tCancer: Tumor burden, treatment side effects (e.g., chemotherapy), and cytokine release can contribute to depressive symptoms.\\n 3.\\tParaneoplastic Syndromes: Autoimmune reactions associated with cancer may lead to neuropsychiatric symptoms.\\n\\n Nutritional Deficiencies\\n 1.\\tVitamin B12 Deficiency: Causes neuropsychiatric symptoms, including depression and cognitive impairment.\\n 2.\\tFolate Deficiency: Linked to mood disturbances due to impaired neurotransmitter synthesis.\\n 3.\\tVitamin D Deficiency: Associated with an increased risk of depression.\\n\\n Renal and Hepatic Disorders\\n 1.\\tChronic Kidney Disease (CKD): Uremia and the physical burden of dialysis can lead to depression.\\n 2.\\tLiver Disease: Hepatic encephalopathy or chronic illness burden can contribute to mood disturbances.\\n\\n Sleep Disorders\\n 1.\\tObstructive Sleep Apnea (OSA): Poor sleep quality and chronic fatigue are linked to depression.\\n 2.\\tChronic Insomnia: Persistent sleep disturbances contribute to mood dysregulation.\\n\\n Other Medical Conditions\\n 1.\\tChronic Fatigue Syndrome/Myalgic Encephalomyelitis (CFS/ME): Severe fatigue and other physical symptoms can lead to depression.\\n 2.\\tHyperparathyroidism: Elevated calcium levels can affect mood and cognition.\\n"
/ROOT/MDDROOT/SUB/MED/MED_COG,MED_COG,MED,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas."
/ROOT/MDDROOT/SUB/MED/MED_COG/MNEUD,MNEUD,MED_COG,"major or mild neurocognitive disorder due to another medical condition, with behavioral disturbance"
/ROOT/MDDROOT/SUB/MED/MED_COG/MEDDD,MEDDD,MED_COG,Depressive disorder due to another medical condition
