Node,Met_Criteria,Description,Patient_Story
ANXIETYROOT,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has anxiety mood,"As I walked into the psychiatrist's office, I felt my heart racing and my palms sweating. I had been thinking about this appointment for days, worrying about what questions they would ask and whether I would be judged. When the psychiatrist greeted me and asked about my purpose for the visit, I stammered a bit, trying to find the right words to explain my anxiety about everyday situations, like going to work or meeting new people."
SUB,False,"Determine if the patient's anxiety is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MED,False,"Determine if the patient's anxiety mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
FEAR,False,Determine if the patient's anxiety occur in the context of an abrupt surge of intense fear and discomfort that reaches a peak within minutes. The criteria is met when the patient's experience is marked by a rapid escalation of fear or anxiety.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
PANICSEV,False,"Determine if the patient experiences recurrent, unexpected panic attacks that are clinically significant. The criteria is met when the patient reports multiple episodes of sudden, intense fear or discomfort that occur without warning.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
PLACE,False,Determine if the patient experiences anxiety about being in places or situations where escape might be difficult or embarrassing in the event of a panic attack or panic-like symptoms. The criteria is met when the anxiety is specifically related to these situations and is not accompanied by more generalized worries.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SPERATION,False,Determine if the patient experiences anxiety or worry specifically related to separation from major attachment figures. The criteria is met when the patient's anxiety is focused on separation and does not involve more generalized worries.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SOCIAL,False,Determine if the patient experiences anxiety or worry specifically about social situations where they are exposed to the scrutiny of others. The criteria is met when the anxiety is focused on social interactions and does not include more generalized worries.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
FEAROBJ,False,"Determine if the patient experiences anxiety about exposure to a feared object (e.g., spiders) or situation (e.g., getting an injection, flying). The criteria is met when the anxiety is specifically triggered by the presence or anticipation of the feared object or situation.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
HEALTH,False,Determine if the patient experiences anxiety specifically about their health and the possibility of having or acquiring a serious illness. The criteria is met when the anxiety is focused on health concerns and does not involve more generalized worries.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
DISCARD,False,"Check if the patient feels anxious about getting rid of personal items, leading to a buildup of possessions that clutter their living spaces. The criteria is met when this anxiety makes it hard to let go of items, causing clutter that affects daily living.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
APPEARANCE,False,Check if the patient feels anxious or worried about a perceived flaw in their appearance that is not noticeable to others. The criteria is met when the concern about this imagined defect causes significant distress.,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
REC,False,"Check if the patient experiences anxiety linked to repeated worries, thoughts, or excessive overthinking. The criteria is met when these concerns are persistent and cause significant distress.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
