Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I decided to visit the psychiatrist because I felt an overwhelming sense of sadness lately. I remember sitting in the waiting room, staring at the floor, thinking about how I hadn't really felt happy in months, especially after losing my job last year. I was hoping that maybe talking to someone could help me make sense of all these heavy feelings weighing me down."
MANIC,True,the patient has reported clinicallly significant manic or hypomanic symptoms,"Lately, I’ve been having these intense bursts of energy that feel almost out of control. Just last week, I couldn’t sit still during dinner with my friends at a local restaurant; I kept jumping from topic to topic, and at one point, I even suggested we go skydiving on a whim! I felt invincible, but now I wonder if that was just a manic episode, especially since I haven’t been sleeping much at all."
MANIC_DUR,True,"criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","For the past week, I've been riding this incredible wave of energy. Just two days ago, I went for a run at the park and ended up running twice as far as I usually do, feeling as if I could conquer anything. My friends have noticed too; they mentioned I seem “wired” and even a bit too talkative during our video calls. It’s exhilarating, but there's a nagging feeling inside me that makes me question whether this is all too much."
MANIC_DUR_HALL,True,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I have experienced hallucinations in the past, particularly during a stressful period after my job loss. I vividly remember one night when I was alone in my apartment; I thought I saw shadows moving along the walls and heard whispers that I couldn't quite make out. It was so unsettling that I had to turn on all the lights and keep myself busy until dawn to shake off the feeling."
MANIC_DUR_HALL_PSYC,True,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"During my recent manic episode, I experienced some really troubling psychotic symptoms. One night, while I was out with friends, I suddenly believed that I could communicate with the stars, thinking they were giving me special messages about my future. This was incredibly vivid, and I remember feeling a mix of excitement and confusion as I shared my revelations with everyone around me. It was only later, when I returned to a more stable state, that I realized those thoughts were not based in reality and were part of the manic phase I was going through."
BPIPSYC,True,Bipolar I disorder with psychotic features,
SUB,False,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I don't think my mood is connected to any substance use. I've never really been into drinking or doing drugs; I mostly just enjoy an occasional cup of coffee in the morning, maybe two cups at most. I haven't been on any medications either, so it's just been the stress of losing my job and trying to navigate everything since then that has been weighing on me."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I've certainly been feeling down since losing my job, I wouldn't say those feelings are the main focus of my life right now. My friends have pointed out how energetic I've been lately, and I've been channeling that into staying active and trying new hobbies. For instance, just this weekend, I took up rock climbing, which felt exhilarating and kept my mind off the sadness, so I don’t believe my depressive symptoms are severe enough to warrant clinical attention."
SIDD,False,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
MED,False,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I don’t have any significant medical conditions that would contribute to my mood. I've always been relatively healthy, aside from some occasional allergies that never really affect my daily life. My sadness seems to stem more from the pressures of my recent job loss rather than any underlying health issues, as I have not felt physically unwell or incapacitated in any way due to a medical condition."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I don’t feel like I’ve experienced any noticeable decline in my cognitive abilities. Just the other day, I was able to help my younger brother with his math homework, explaining complex equations in a way he could understand. I’ve also been keeping up with my book club, remembering details from our readings and participating actively in our discussions without any issues, so I believe my cognitive function is still intact."
MNEUD,False,"major or mild neurocognitive disorder due to another medical condition, with behavioral disturbance",
MEDDD,False,Depressive disorder due to another medical condition,
SCHIZ,False,Schizophrenia spectrum or other psychotic disorder,
BPI,False,Bipolar I disorder,
MANIC_DUR_HYPO,False,"Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","I haven't experienced a hypomanic episode that meets the criteria you're describing. While I do have these bursts of energy and excitement, they haven't lasted for four consecutive days. Just last week, I felt a little more animated during a dinner with friends, but it only lasted that one night, and I quickly returned to my usual mood. Overall, my feelings have been more about trying to manage the sadness from my job loss rather than having an elevated or expansive mood over an extended period."
MANIC_DUR_HYPO_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I don’t believe I’ve ever had delusions or hallucinations. I remember a time when I was at my friend’s birthday party, and I thought I saw someone in the corner of the room that turned out to be a coat rack. It was just a fleeting moment, and I brushed it off as my imagination playing tricks on me. Overall, I’ve always been grounded in reality, even during those tougher times."
