Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I've been feeling really low lately, especially since I lost my job last month at the bookstore. I spend most of my days just lying on the couch, hardly even bothering to shower. My friends have noticed and have been trying to reach out, but I often just text back that I'm busy or not feeling well. It's hard to find any motivation to do anything, even the things that used to make me happy."
OTH,True,"The criteria are met if the patient exhibits clinically significant depressive symptoms not covered by other criteria, which represent a psychological or biological dysfunction in the individual. These symptoms must be severe enough to impact the patient's functioning or well-being.","Since losing my job at the bookstore, things have only gotten worse. A few days ago, I attended a friend's birthday party, but I felt completely out of place. I sat in the corner, barely engaging in conversation, feeling this overwhelming heaviness in my chest. I used to love being social, but now I just feel drained and disconnected from everyone around me."
OTH_MALA,True,"The criteria are met if the patient exhibits a maladaptive response to a psychosocial stressor, meaning their response is disproportionate or ineffective, leading to significant distress or impairment in functioning.","After losing my job, I tried to apply for new positions, but every rejection felt like a crushing blow. Last week, I was invited to a family gathering, and instead of feeling excited, I spent the whole day anxious about being around everyone. When I got there, I couldn't focus on anything anyone was saying; I just kept replaying my failures in my mind. Instead of enjoying the time with my family, I ended up leaving early, feeling overwhelmed and embarrassed."
ADJD,True,Adjustment disorder with depressed mood,
SUB,False,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I've been feeling really low lately, but I don't think it's due to any substance use. I don't drink alcohol or use drugs, and the only medication I'm on is an antidepressant my doctor prescribed months ago, which I've been consistently taking. I feel like my mood issues are more related to the stress of losing my job than anything physiological from substances."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I've been feeling low, I don’t think my depressive modd have reached a level that requires clinical attention. Even though I struggle with motivation and social interactions since losing my job, I can still manage my daily tasks, like cooking meals and keeping my apartment clean. I do feel some sadness, but it hasn’t significantly disrupted my life or relationships; I still talk to my friends and family, even if I don’t engage as much as I used to."
SIDD,False,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
MED,False,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I don’t have any specific medical conditions that might be contributing to my mood. I've always been relatively healthy, with no chronic illnesses. I think my feelings of sadness and isolation are primarily connected to the stress and anxiety I've been experiencing since losing my job, rather than any physiological issues."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I haven't noticed any decline in my cognitive abilities since losing my job. I can still focus on tasks like reading or following a recipe while cooking, and I manage to remember important dates, like my friend's birthdays. Even though I've been feeling low and socially disconnected, I can still engage in conversations when I push myself to do so, like during family gatherings; I just might need a moment to collect my thoughts before joining in."
