Node,Met_Criteria,Description,Patient_Story
ELEVATEDMOOD,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has an elevated or expansive mood,"I have elevated mood. I feel like I am on top of the world. I have been feeling incredibly euphoric, as if I could accomplish anything. I remember staying up late talking with friends, planning an elaborate trip that I impulsively decided we should take, and I even booked the hotel without thinking twice about the cost. However, it all came crashing down when I suddenly felt depressed and withdrawn, barely able to get out of bed for a few days afterward. The stark contrast between those highs and lows has left me feeling a bit confused and concerned about what’s happening to me."
SUB,True,"Determine if the patient's elevated or expansive mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","Last weekend, I decided to celebrate my friend's birthday, and I drank quite a bit of whiskey—about five shots in just a few hours. The next day, I woke up feeling euphoric and overly energetic, which was unusual for me. I was chatting with everyone and couldn’t seem to sit still, even though I later realized it was likely just the hangover giving me that high."
SUB_SEV,False,"Evaluate if the elevated or expansive mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","I often find myself feeling upbeat and cheerful, but it usually comes in waves rather than being a constant state. For instance, during a recent family gathering, I felt particularly happy and engaged, laughing and sharing stories, but I never thought it was anything more significant than just enjoying the moment with my loved ones. It doesn't really interfere with my daily life or responsibilities, so I haven’t felt the need to discuss it further."
SI,True,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication,"After that birthday celebration, I felt like I was on top of the world, but the next day took a turn. I woke up with a pounding headache and felt a deep sense of anxiety that I couldn't shake off. It lasted for hours, making it hard for me to focus on anything, and I found myself pacing around the apartment, feeling restless and irritable. I realized that I was experiencing a withdrawal from the alcohol I had consumed, which was unsettling for me since I'd never felt this way before."
SIBP,False,Substance/Medication-Induced Bipolar Disorder,"I’ve never experienced mood swings that seem to be a result of any substances or medications. In fact, I don’t really take any medication regularly and only drink socially, like at my friend's birthday party. I usually stick to one or two drinks, and I don't find that it affects my mood in any lasting way beyond what I mentioned after that night."
MED,False,"Determine if the patient's elevated or expansive mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I've never had any significant health issues that would affect my mood. I do visit my doctor for routine check-ups, and I've been told I'm generally in good health. I feel like the ups and downs I experience regarding my mood are more due to life's events, like spending quality time with friends or dealing with stress from work, rather than any medical condition."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I’ve noticed that my memory has been pretty sharp lately. For instance, just last week, I was able to recall specific details from a conversation I had with a colleague months ago about a project we worked on together. Even when I’m multitasking at work, I can keep track of multiple tasks without feeling overwhelmed. It doesn’t seem to impact my day-to-day functioning at all, so I’m not really concerned about any cognitive decline."
MNEUD,False,"Major or Mild Neurocognitive disorder due to another medical condition, with behavioral disturbance","I’ve never experienced any significant cognitive issues or behavioral disturbances due to a medical condition. For example, I’ve been managing a mild asthma condition for years, but it only acts up during heavy exercise or when I’m exposed to allergens. Overall, it doesn’t affect my everyday life or lead to any behavioral changes; I just carry an inhaler and make sure to avoid triggers."
MEDBP,False,Bipolar and Related Disorder due to another medical condition,"I don't have any underlying medical conditions that would cause mood disorders. I’ve been pretty healthy overall, and my doctor has always confirmed that I’m in good shape during my routine check-ups. While I do experience some fluctuations in my mood from time to time, I believe they stem from everyday life stresses rather than any medical issues."
MANIC,False,"the patient has reported clinically significant manic. criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","During the past month, I had a couple of days where I felt unusually happy, like the time I went hiking with friends and couldn't stop smiling and joking around. However, these moments were brief and didn't last longer than a few hours, and I didn't have any significant changes in my energy or activity levels afterward. Overall, my mood has been stable, and I haven't experienced a long-term elevated or irritable mood, so I'm not sure if there's anything to be concerned about."
