Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I walked into the psychiatrist's office, feeling a heaviness in my chest. My mind wandered back to the last few months, where I often found myself sitting in my dimly lit room, staring blankly at the wall while my friend Sarah tried to cheer me up with a silly story about her cat. ""I just don't feel like myself anymore,"" I admitted as I settled into the chair, hoping to unravel this fog that surrounded me."
DEPCOM,True,"The criteria are met if the patient's depressed or dysphoric mood is an associated feature of another mental disorder (e.g., ""demoralization"" related to having Obsessive-Compulsive Disorder).","As I reflected on my struggles, I realized that my mood was closely tied to my obsessive thoughts about cleanliness. Each time I left my house, I battled a wave of anxiety, fearing germs everywhere. It felt like a dark cloud loomed over me, making every outing a chore, while my friends attempted to reassure me that I was being too hard on myself."
DEPCOM_DIST,True,"The criteria are met if the mood disturbance is clinically significant, meaning it causes substantial distress or impairment in the patient�s daily functioning.","Lately, my friends have noticed that I rarely join them for outings anymore. Just last weekend, Emily invited me to a concert, but I couldn’t muster the energy to go, feeling overwhelmed by the thought of being in a crowd. I lied to her, saying I had plans, but the truth was, I was paralyzed by this nagging sense of dread, and it hurt to see them enjoying life without me."
OTHDD,True,Other specified depressive disorder; unspecified depressive disorder,
SUB,False,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I don’t use any substances, including alcohol or drugs, and I haven’t been prescribed any medications that could affect my mood. My heaviness and sadness seem to stem purely from my overwhelming anxiety about cleanliness and the pressure I put on myself to maintain order in my life. It's frustrating because I know my friends are trying to help, but I can’t shake off this persistent cloud of discomfort that feels entirely mental."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","As I sat in the waiting room, I couldn't help but think that while I often feel down, it's more about my anxiety than a deep-seated depression. Sure, there are days when I don't feel like getting out of bed, but those moments are fleeting and usually pass once I tackle my cleaning routine. It's the pressure of staying organized that drives me, and while it can be exhausting, it hasn’t truly interfered with my daily life in a significant way."
SIDD,False,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
MED,False,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I've been dealing with a lot of anxiety about cleanliness, but physically, I'm in good health. I go for regular check-ups, and my doctor has always told me that my tests come back normal. I often feel low, but it's more about my anxious thoughts than any medical condition affecting my mood. I've been trying to work through this mental turmoil without any underlying health issues contributing to it."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","In the past few months, I have noticed some occasional forgetfulness, like when I walked into the kitchen to get a glass of water but ended up staring at the fridge, unsure of what I was doing there. However, these moments are fleeting, and I can usually recall what I intended to do or remember important tasks, like keeping track of my work deadlines. My friends say I still communicate well and engage in conversations without any noticeable difficulty, so I don't think it's affecting me significantly."
MNEUD,False,"major or mild neurocognitive disorder due to another medical condition, with behavioral disturbance",
MEDDD,False,Depressive disorder due to another medical condition,
MANIC,False,the patient has reported clinicallly significant manic or hypomanic symptoms,"Despite feeling weighed down by my anxiety, I don't experience any manic or hypomanic symptoms. Last week, I spent an entire day cleaning my apartment, organizing everything meticulously, but I never felt elevated or overly energetic—just a sense of urgency to maintain order. While my friend Mark encouraged me to take a break and go out for a walk, I shrugged it off, explaining that I felt better when I focused on my tasks rather than acting out of impulse or excitement."
MANIC_DUR,False,"criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I’ve noticed that, even during busy weeks, my mood remains relatively stable, and I don't experience any significant highs. Just last month, I spent several days preparing for a big presentation at work, and while I felt a sense of determination, it wasn't an elevated mood; rather, it was just me trying to stay on top of my responsibilities. My friends have commented on how I maintain a consistent demeanor, even when juggling tasks, which reassures me that I’m not cycling through extreme emotions."
MANIC_DUR_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced delusions or hallucinations in my life. Just the other day, I was discussing my feelings with my friend Sarah over coffee, and I mentioned how everything I experience feels very real and tangible—even my anxiety about cleanliness feels like a constant pressure rather than any kind of out-of-body experience. I reassured her that, while I do struggle with overwhelming thoughts, I’ve always been grounded in reality and haven't encountered anything that wasn't actually there."
MANIC_DUR_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I've never had any psychotic symptoms tied to mood episodes. For instance, even during my worst days of feeling low, my thoughts remain clear, and I don't experience any delusions or hallucinations. Last week, while feeling a bit down, I managed to join my friends for dinner, and we had a great time talking and laughing, which made me realize that my struggles are more about anxiety and not mood swings."
BPIPSYC,False,Bipolar I disorder with psychotic features,
SCHIZ,False,Schizophrenia spectrum or other psychotic disorder,
BPI,False,Bipolar I disorder,
MANIC_DUR_HYPO,False,"Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","I understand that I don’t meet the criteria for a hypomanic episode. While I have had days where I feel a bit more energetic while cleaning, those moments are rare and do not last for four days. Just last week, I spent a single afternoon organizing my closet and felt a bit focused, but it was driven by my anxiety, not an elevated mood. Most of the time, I feel quite stable and grounded, even if I have bursts of productivity here and there."
MANIC_DUR_HYPO_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced delusions or hallucinations in my life. Just last week, I was sitting on my couch chatting with my friend Claire about our plans for the weekend, and I clearly saw her sitting across from me, nodding along as I spoke. Everything I perceive around me feels very real, and even when I'm overwhelmed by my anxious thoughts, I remain firmly grounded in reality."
MANIC_DUR_HYPO_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I’ve never had any psychotic symptoms tied to mood episodes. Even on my tougher days, like last Sunday when I felt particularly low and spent most of the day alone in my room, my thoughts were clear, and I was aware of my surroundings. I remember scrolling through my phone, engaging with my friends online, and while I felt sad, I never lost touch with reality or experienced anything unusual in my perception."
