Node,Met_Criteria,Description,Patient_Story
ANXIETYROOT,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has anxiety mood,"As I walked into the psychiatrist's office, I felt my heart racing and my palms sweating. I glanced around nervously, trying to focus on the calming decor, but my mind was racing with thoughts about why I was there. When the psychiatrist asked me about the purpose of my visit, I stumbled over my words, feeling a wave of anxiety wash over me as I tried to explain that I wasn't sure if I was struggling with something or just feeling overwhelmed by life."
SUB,True,"Determine if the patient's anxiety is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","For the past few months, I've been drinking heavily, usually about six beers every evening to unwind after work. I noticed that on days when I drink more, my anxiety spikes, making me feel jittery and on edge, especially in social situations. Just last week, I went to a friend's party and ended up feeling so anxious that I had to leave early, even though I had been looking forward to it all week."
SUB_DIST,True,Determine if the patient's anxiety mood is associated with disturbance in attention and awareness is characterized by a fluctuating course. The criteria is met when there is evidence of changes in the patient's level of attention or alertness that vary over time.,"Lately, I've noticed that my attention seems to fluctuate throughout the day. There are moments when I can focus on my work, but then suddenly, I'll find myself staring blankly at my computer screen, unable to remember what I was doing just moments before. This happened just yesterday during a meeting; I was engaged one minute, contributing to the discussion, and the next, I felt completely lost and detached, as if I was in a fog. It's frustrating because I can't predict when these lapses will hit, and they leave me feeling anxious about my performance."
SIDELIRIUM,True,Substance Intoxication Delirium; Substance withdrawal delirium; Medication-Induced Delirium,"After a particularly stressful week, I decided to drink more than usual, about eight beers in one night, hoping it would help me relax. The next morning, I woke up feeling disoriented and shaky, with my heart racing and a terrible headache. I could hardly remember the night before, and I felt a sense of panic as I realized I had trouble even recognizing my own surroundings. It was as if I was in a daze, and I couldn't shake the feeling that something was seriously wrong."
SUB_DIST_SEV,False,"Evaluate if the anxiety mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SIANX,False,Substance/Medication-Induced Anxiety Disorder,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
SI,False,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MED,False,"Determine if the patient's anxiety mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MED_DIST,False,"Evaluate if the anxiety mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
MEDDELIRIUM,False,Delirium Due to Another Medical Condition,"Sorry, I dont think this is a good fit for me. This does not apply to me, try next."
