Node,Met_Criteria,Description,Patient_Story
ELEVATEDMOOD,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has an elevated or expansive mood,"I have elevated mood. I feel like I am on top of the world. I have been feeling incredibly euphoric, as if I could accomplish anything. I remember staying up late talking with friends, planning an elaborate trip that I impulsively decided we should take, and I even booked the hotel without thinking twice about the cost. However, it all came crashing down when I suddenly felt depressed and withdrawn, barely able to get out of bed for a few days afterward. The stark contrast between those highs and lows has left me feeling a bit confused and concerned about what’s happening to me."
SUB,False,"Determine if the patient's elevated or expansive mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","Lately, I’ve been feeling really high-spirited, especially after I joined a new hiking group. Just last weekend, we explored a beautiful trail, and I felt a rush of joy as we reached the summit and took in the breathtaking views. I’ve been completely sober, too; I don’t use any substances or medications, so this mood feels natural and connected to my experiences rather than anything artificial."
MED,False,"Determine if the patient's elevated or expansive mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I've been feeling incredibly upbeat, especially after making some lifestyle changes. I recently switched to a plant-based diet and started practicing yoga regularly. It's been a holistic journey for me, and I truly believe my elevated mood is tied to these positive changes in my life, not because of any medical condition. I haven't experienced any physical health issues that would contribute to how I feel."
MANIC,False,"the patient has reported clinically significant manic. criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I appreciate how positive I've been feeling, but I wouldn't say it's been elevated or manic in any significant way. For instance, during last week's work presentation, I was enthusiastic and passionate, which my colleagues noted, but it was just for a couple of hours. Overall, my mood has been consistently good for a few days at a time, rather than lasting for a week or longer."
HYPOMANIC,False,"The patient has reported hypomanic and at least one Major Depressive Epsidoe. Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","I haven't experienced any major depressive episodes either. Sure, there have been days when I felt a bit down, like after a tough work week, but it usually passed after a good night's sleep or a chat with a friend. For instance, last month, I had a stressful project deadline, and I felt a little low for a couple of days, but once I finished it, my mood lifted significantly."
HYPOMANICDEP,False,The criteria are met if the patient explicitly reported at least 2 years of hypomanic symptoms along with periods of depressed mood. Duration should be explicitly asked.,"I can't say that I've had hypomanic symptoms lasting for two years or more. While I've felt energized and positive for stretches, like last summer when I was out hiking almost every weekend, those feelings haven't been consistent over such a long period. Whenever I've experienced low moods, they've only lasted a few days at most, and they quickly lifted after talking with friends or getting good rest."
GAMB,True,The criteria is met if elevated or euphoric mood confined to periods of gambling,"I’ve noticed that my mood can skyrocket whenever I’m gambling. Just last week, I went to a casino with some friends, and as soon as I sat down at the slot machines, I felt an electrifying rush of excitement. I couldn’t stop smiling as I kept winning small amounts, and for those few hours, I felt invincible, like nothing could bring me down. It’s like everything else faded away, and I was just riding that high until I left the place."
GAMB_SEV,True,"The criteria are met if the persistent and problematic gambling behaviour leads to clinically significant impairment or distress. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","I’ve found myself gambling more frequently over the past few months, and it’s starting to take a toll on my life. Just yesterday, I spent the entire afternoon at a local casino, and when I lost track of time, I ended up missing an important dinner with my family. The feeling of regret hit me hard when I finally realized the time, and it’s been weighing on my mind ever since. I can’t help but think about how much money I’ve been spending and how it’s affecting my relationships; I feel like I’m on a slippery slope, and it’s causing me significant distress."
GAMBD,True,Gambling Disorder,"I've definitely noticed a pattern with my gambling that concerns me. Just last weekend, I went to a casino again; I told myself it would be a quick visit, but before I knew it, six hours had passed, and I had lost way more money than I intended. I felt this overwhelming urge to keep playing, convinced that I could win it back, but when I finally left, I was filled with anxiety about how my actions were affecting my family and my finances. It's become a cycle I can't seem to break, and it's really starting to stress me out."
SUB_SEV,False,"Evaluate if the elevated or expansive mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","I've been feeling really positive lately, especially after starting a new hobby that I love, but I wouldn't describe it as an elevated mood that requires clinical attention. For example, last weekend, I went to a pottery class with some friends, and while I felt joyful and engaged there, it didn't disrupt my daily life or cause any distress. I still manage my responsibilities well, and these feelings are more like a pleasant addition rather than something overwhelming."
SIBP,False,Substance/Medication-Induced Bipolar Disorder,"I’ve never used any substances or medications that might impact my mood. In fact, I’m quite cautious about what I put into my body; I focus on eating healthy and staying active. For instance, I started running every morning and have noticed a significant boost in my overall mood, but it’s all been purely from these lifestyle changes rather than anything induced by substances."
SI,False,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication,"I've never experienced substance intoxication or withdrawal. I’m a bit of a health enthusiast; I haven’t even taken any medications since I prefer to manage my well-being through diet and exercise. Just last month, I got a clean bill of health from my doctor, and I feel great focusing on natural ways to feel my best."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I've been feeling quite sharp and focused lately, especially with my job at the tech startup where I've been leading projects successfully. Just last week, I organized a team brainstorming session, and we came up with really innovative ideas that impressed everyone. I haven’t noticed any decline in my memory or decision-making skills; in fact, I feel like my cognitive abilities are at their peak right now."
MNEUD,False,"Major or Mild Neurocognitive disorder due to another medical condition, with behavioral disturbance","I appreciate my overall mental clarity, and I haven't noticed any significant cognitive decline. Just the other day, I was able to easily recall a complex project at work and present it effectively during a meeting, which impressed my team. I feel sharp and engaged, and there haven’t been any behavioral disturbances or changes in my mood that would raise any concerns about a neurocognitive disorder."
MEDBP,False,Bipolar and Related Disorder due to another medical condition,"I don’t have any medical conditions that might contribute to mood issues; I've always been in good health. Just last month, I visited my doctor for a routine checkup, and everything came back normal. I feel grateful for my well-being, as it allows me to enjoy life without the complications of a medical disorder affecting my mood."
MANIC_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’m grateful to say that I’ve never had any experiences with delusions or hallucinations. For instance, I clearly remember enjoying a weekend camping trip with friends where we shared stories around the campfire and marveled at the stars; everything felt completely real and grounded. I’ve always been present in my experiences, and I just haven’t encountered anything that felt off or distorted."
