Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I've been feeling really down lately, you know? Just yesterday, I sat on my couch for hours, staring at the wall, while my friends were out having fun. I used to love going out with them, but now I can't find the motivation to even pick up the phone to text them. It's like a heavy cloud is hanging over me all the time."
DEPEPS,True,"The criteria are met if the patient has experienced one or more major depressive episodes without any history of manic or hypomanic episodes. To determine if a major depressive episode has occurred, the following aspects must be examined:
1. Interest or pleasure in doing things
2. Sleeping conditions
3. Energy level
4. Appetite
5. Feelings of self-worth
6. Concentration when doing things
7. Changes in movement or speech
8. Suicidal ideation
9. Duration of at least 2 weeks
The decision should be based on an overall assessment of the severity of these aspects, considering the patient's responses across all areas (not all aspects need to be abnormal). The duration of symptoms should be explicitly asked and confirmed as lasting at least 2 weeks before making a final decision. Be really caucious when making the decision!","For the past month, I’ve struggled to find joy in anything. Even on days when the sun is shining, I feel indifferent. My sleep has been erratic; I lay awake for hours or oversleep and still wake up feeling exhausted. My appetite has plummeted too—I often skip meals altogether, and I’ve lost weight without even trying. I’ve noticed I’m more sluggish when I walk, and my thoughts seem to drift more than usual, making it hard to focus on even the simplest tasks. There have been moments when I’ve felt so low that I’ve questioned my worth. All of this has been weighing on me for several weeks now."
DEPEPS_HALL,False,The criteria are met if the patient acknowledges having a history of delusions or hallucinations.,"I've never experienced anything like delusions or hallucinations. I remember a night when I was overwhelmed with sadness, and I was just lying in bed, staring at the ceiling, but the only thing I could hear was the sound of my own breath. It felt very quiet and still, almost peaceful, but I didn't see or hear anything that wasn't really there. It was just me and my thoughts, which were heavy enough as they were."
DEPEPS_HALL_DUR,True,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I've been feeling this way for almost two years now. It all started after I lost my job; I spiraled into a deep sadness that just wouldn't lift. I've withdrawn from friends and family, often isolating myself in my room for days on end, unable to shake this feeling of hopelessness. Even when I try to force myself to get out, it feels like I'm just going through the motions, and the joy I used to feel is nowhere to be found."
MDDPDD,True,Major depressive disorder plus persistent depressive disorder,
SUB,False,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I’ve never been one to lean on substances, really. I occasionally have a glass of wine during dinner, but it’s just one glass, and I rarely drink more than that. My mood has been low long before I even considered having wine; it feels more tied to the stress of losing my job and the isolation I've put myself in."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","I’ve noticed that while I do feel down and unmotivated most days, it hasn't significantly disrupted my daily life. I still manage to get up in the morning, go to work, and complete my tasks, even if I do feel a bit detached. My colleagues have commented that I seem quieter than usual, but I don’t feel that my sadness is a primary concern; it’s more like an ongoing background noise that I’ve learned to cope with."
SIDD,False,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
MED,False,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I don’t have any significant medical conditions that might be contributing to my mood. I’ve always been relatively healthy, aside from occasional migraines that come and go. They can be really painful, but they typically only last a day or two, and I don’t think they have anything to do with how I’ve been feeling emotionally. My low mood started when I lost my job, not because of any ongoing health issues."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I haven't experienced any noticeable decline in my cognitive abilities. Despite feeling down lately, I still find that I can focus on my work tasks and remember important deadlines. For instance, just yesterday, I successfully planned a presentation at work, and my colleagues said I did a great job articulating my points. I can still engage in conversations and manage my daily routine without any major difficulties."
MNEUD,False,"major or mild neurocognitive disorder due to another medical condition, with behavioral disturbance",
MEDDD,False,Depressive disorder due to another medical condition,
MANIC,False,the patient has reported clinicallly significant manic or hypomanic symptoms,"I haven't experienced any manic or hypomanic symptoms at all. In fact, the only intense feelings I've had are those of sadness and emptiness. Just last week, my friend suggested going for a hike, but instead of feeling excited or energized, I couldn't muster the energy and opted to stay home, where I felt more comfortable in my cocoon of isolation."
MANIC_DUR,False,"criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I don’t think I’ve ever experienced a manic episode. I remember a time when my friend wanted to go out for a spontaneous night on the town, but I just couldn't get excited about it. Instead of feeling energized or elated, I felt a wave of exhaustion wash over me, and I chose to stay home and binge-watch a show, which made me feel more at ease than going out ever could. My mood has been pretty consistently low, without those high-energy or uplifting moments."
