path,name,parent,Description
/ROOT,ROOT,,Starting the interview
/ROOT/ELEVATEDMOOD,ELEVATEDMOOD,ROOT,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has an elevated or expansive mood. not met if the patient clearly does not have a elevated or expansive mood or expresses a normal mood or say good bye.
/ROOT/ELEVATEDMOOD/SUB,SUB,ELEVATEDMOOD,"Determine if the patient's elevated or expansive mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects, otherwise not met"
/ROOT/ELEVATEDMOOD/SUB/SUB_SEV,SUB_SEV,SUB,"Evaluate if the elevated or expansive mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition."
/ROOT/ELEVATEDMOOD/SUB/SUB_SEV/SIBP,SIBP,SUB_SEV,Substance/Medication-Induced Bipolar Disorder
/ROOT/ELEVATEDMOOD/SUB/SUB_SEV/SI,SI,SUB_SEV,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication
/ROOT/ELEVATEDMOOD/SUB/MED,MED,SUB,"Determine if the patient's elevated or expansive mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition. The criteria is met when the patient's mood disturbance is directly linked to the medical condition, otherwise not met"
/ROOT/ELEVATEDMOOD/SUB/MED/MED_COG,MED_COG,MED,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas."
/ROOT/ELEVATEDMOOD/SUB/MED/MED_COG/MNEUD,MNEUD,MED_COG,"Major or Mild Neurocognitive disorder due to another medical condition, with behavioral disturbance"
/ROOT/ELEVATEDMOOD/SUB/MED/MED_COG/MEDBP,MEDBP,MED_COG,Bipolar and Related Disorder due to another medical condition
