Node,Met_Criteria,Description,Patient_Story
ELEVATEDMOOD,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has an elevated or expansive mood,"I have elevated mood. I feel like I am on top of the world. I have been feeling incredibly euphoric, as if I could accomplish anything. I remember staying up late talking with friends, planning an elaborate trip that I impulsively decided we should take, and I even booked the hotel without thinking twice about the cost. However, it all came crashing down when I suddenly felt depressed and withdrawn, barely able to get out of bed for a few days afterward. The stark contrast between those highs and lows has left me feeling a bit confused and concerned about what’s happening to me.”"
SUB,False,"Determine if the patient's elevated or expansive mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","While I've certainly felt a rush of energy and excitement lately, I can't link it to any substance use. I don't drink alcohol or use recreational drugs, and I haven't started any new medications. My mood seems to come from my passion for planning events and being around friends, not from chemicals or external influences."
MED,False,"Determine if the patient's elevated or expansive mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","Even though I've been experiencing this heightened energy and excitement, I know it's not linked to any medical condition. I don't have any significant physical health issues; I've been fortunate to be in good health. This upbeat mood truly stems from my love for creating joyful experiences for others, like when I organized that barbecue, rather than any underlying medical factors."
MANIC,True,"the patient has reported clinically significant manic. criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","For the past two weeks, I've been on an absolute high—everything feels brighter and more intense. I can't remember the last time I slept more than four hours a night because I've been so busy planning my next big event, and my friends even joked that I've been talking a mile a minute. Just yesterday, I organized an impromptu road trip for my friends, and we ended up dancing in a random field until sunrise; I felt unstoppable and completely alive during that time."
MANIC_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I can honestly say that I've never experienced delusions or hallucinations. I often find myself lost in thought when I'm planning events, but I can distinguish between my imagination and reality. For instance, while brainstorming ideas for future gatherings, I might daydream about themes and decorations, but I know it's all just in my head and not something I actually see or hear."
BPI,True,Bipolar I disorder,"Lately, I've been on this wild emotional rollercoaster. Just a few days ago, I was on top of the world, bursting with energy as I prepared for a big party, but then out of nowhere, I felt this crushing sadness wash over me. I secluded myself in my room for hours, unable to get up or even respond to texts from my friends, and I couldn’t shake the feeling that everything was pointless. It’s like I’m living two separate lives—one where I'm vibrant and lively, and another where I feel trapped in a fog of despair."
SUB_SEV,False,"Evaluate if the elevated or expansive mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I do feel a surge of excitement and energy, I don’t think it’s severe enough to be a central concern for me. For instance, after planning that barbecue, I felt a real high from everyone enjoying the event, but it wasn’t anything that caused me distress. I still function well in my life, and my mood generally reflects my passion for social gatherings rather than a dangerous or troubling shift."
SIBP,False,Substance/Medication-Induced Bipolar Disorder,"I understand that I've been feeling really energetic and happy lately, especially when I’m organizing events, but I know it's not due to any substances. I’ve never used any drugs or alcohol, and I’m not on any new medications that could influence my mood. My highs and lows seem to just come from my natural enthusiasm for planning and my connection with friends, not from any chemical imbalances."
SI,False,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication,"I appreciate the concern, but I can assure you that I have never experienced any substance intoxication or withdrawal. I’m completely sober and don’t take any medications that would affect my mood. My energy and excitement come directly from my passion for organizing events and spending time with friends, and there's no external factor influencing how I feel."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I've noticed that while I can get really absorbed in planning my events, I haven't had any trouble with my attention or memory. Just yesterday, I was able to recall details from a conversation I had with a friend weeks ago about our upcoming plans at the barbecue. I can still manage my daily tasks, like keeping track of my to-do list for organizing the party and remembering the names of new recipes I want to try. Overall, I feel like my cognitive abilities are functioning well; I don’t perceive any noticeable decline that impacts my daily life."
