Node,Met_Criteria,Description,Patient_Story
/ROOT,1, Starting the interview,"Hi, I'm Sam. I guess I'm here because things have been feeling really overwhelming lately. My mood has been all over the place, and it's starting to impact my work and relationships. I just need some help figuring out how to manage it all."
/ROOT/MDDROOT,1,"The following stages are 2 critical stages that happen in this topic.\\n1. Figuring out the main reason to visit and ice-break after. When the user greet with you, give a warm prase and try to delight user's day \\n 2. All of the folloiwng screening question MUST BE explicitly asked to determine if the criteria is met or not: [ 1) Have you ever had a period where you felt down? Not just for a week or two but, in fact, for many weeks and, perhaps, months?, 2) Along with that, did you find you had no energy, had no interest in things, and overall had great difficulty functioning?, 3) Has this ever happened to you before?""] Notice that it is not necessary that all three questions's answer should be yes. This is important: If the answer to any of the questions is yes, then the criteria is met. Make all the questions have been asked, otherwise ask_more_details","Yeah, I've had long stretches where I've felt really down, not just for a few days, but for weeks or even months. During those times, I just feel completely drained and nothing seems to interest me. It's happened a few times over the last couple of years, and it's really hard to shake off."
/ROOT/MDDROOT/NORMAL,0,No mental disease symptoms; everything is normal,"I wouldn't say everything is normal. Most days, I struggle to find the motivation to get out of bed and face the day. It's been tough trying to keep up with work and social life when I'm feeling like this."
/ROOT/MDDROOT/SUB,1,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.Example of substances or medications that can cause depression:\\n Substances of Abuse\\n 1.\\tAlcohol: Chronic use or withdrawal can contribute to depressive symptoms.\\n 2.\\tCannabis: Long-term use or withdrawal may induce mood disturbances.\\n 3.\\tCocaine: Particularly during withdrawal, individuals can experience severe depressive symptoms.\\n 4.\\tAmphetamines or Methamphetamines: Similar to cocaine, withdrawal can lead to depression.\\n 5.\\tOpioids: Chronic use or withdrawal may contribute to a depressed mood.\\n 6.\\tHallucinogens: Some individuals may experience prolonged depressive states after use (e.g., \\u201cbad trips\\u201d).\\n 7.\\tInhalants: Chronic use has been associated with mood disorders.\\n 8.\\tSedatives, Hypnotics, and Anxiolytics: Withdrawal from benzodiazepines or barbiturates can cause depression.\\n 9.\\tNicotine: Withdrawal from smoking cessation can cause temporary depressive symptoms.\\n\\n Medications\\n 1.\\tAntihypertensives: Beta-blockers (e.g., propranolol),Clonidine,Methyldopa\\n 2.\\tSteroids: Corticosteroids (e.g., prednisone, dexamethasone), Anabolic steroids\\n 3.\\tHormonal Medications: Oral contraceptives, GnRH agonists (e.g., leuprolide), Thyroid medications (in cases of over- or under-treatment)\\n 4.\\tNeurological Medications: Anticonvulsants (e.g., topiramate, levetiracetam), Parkinson\\u2019s medications (e.g., levodopa)\\n 5.\\tAntibiotics and Antivirals: Fluoroquinolones (e.g., ciprofloxacin), Efavirenz (HIV medication)\\n 6.\\tOncological Agents: Interferons (e.g., interferon-alpha), Tyrosine kinase inhibitors\\n 7.\\tImmunosuppressants: Cyclosporine, Tacrolimus\\n 8.\\tGastrointestinal Medications: H2 blockers (e.g., ranitidine, cimetidine)\\n 9.\\tOther Medications: Isotretinoin (used for acne), Barbiturates, Benzodiazepines (especially during withdrawal)\\n\\n Other Substances\\n 1. Caffeine: Excessive use or withdrawal can cause mood disturbances.\\n 2. Heavy metals: Lead or mercury exposure can cause neurological symptoms, including depression.","I've noticed that whenever I drink more than usual or if I have a bit too much caffeine, my mood tends to get worse. It's like I can't handle it like I used to, and it just adds to the heaviness I'm already feeling."
/ROOT/MDDROOT/SUB/MED,1,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.Example of physilogical effects of a general medical condition that can cause depression:\\n Endocrine Disorders\\n 1.\\tHypothyroidism: Reduced thyroid hormone levels can slow metabolism, leading to fatigue, weight gain, and depressed mood.\\n 2.\\tHyperthyroidism: Excess thyroid hormones can cause mood instability, anxiety, or depression due to overactivation of the nervous system.\\n 3.\\tCushing\\u2019s Syndrome: Elevated cortisol levels can lead to depressive symptoms, insomnia, and irritability.\\n 4.\\tAddison\\u2019s Disease: Insufficient cortisol levels can result in fatigue, apathy, and depressive symptoms.\\n 5.\\tDiabetes Mellitus: Chronic illness burden and glucose dysregulation may contribute to depressive symptoms.\\n 6.\\tPolycystic Ovary Syndrome (PCOS): Hormonal imbalances can affect mood, often leading to depression.\\n\\n Neurological Disorders\\n 1.\\tParkinson\\u2019s Disease: Neurodegeneration in dopaminergic pathways can lead to depression, often preceding motor symptoms.\\n 2.\\tAlzheimer\\u2019s Disease: Early cognitive decline and brain changes contribute to mood disturbances.\\n 3.\\tStroke: Post-stroke depression is common, especially with lesions affecting the left hemisphere or frontal lobes.\\n 4.\\tEpilepsy: Seizures, particularly temporal lobe epilepsy, are associated with mood disturbances.\\n 5.\\tMultiple Sclerosis: Demyelination and neuroinflammation can lead to fatigue, mood swings, and depression.\\n 6.\\tTraumatic Brain Injury (TBI): Damage to brain regions involved in mood regulation can lead to long-term depression.\\n\\n Cardiovascular Disorders\\n 1.\\tCoronary Artery Disease: Reduced blood flow and oxygen delivery to the brain, as well as the psychosocial burden of heart disease, can lead to depressive symptoms.\\n 2.\\tCongestive Heart Failure (CHF): Chronic fatigue and reduced physical capacity are linked to depression.\\n 3.\\tHypertension: Stress and vascular changes in the brain may contribute to mood disturbances.\\n\\n Chronic Pain Syndromes\\n 1.\\tFibromyalgia: Chronic pain, fatigue, and sleep disturbances often coexist with depression.\\n 2.\\tChronic Migraine: Frequent, debilitating pain can lead to mood disorders.\\n 3.\\tArthritis: Chronic joint pain and inflammation can contribute to depressive symptoms.\\n\\n Autoimmune and Inflammatory Disorders\\n 1.\\tSystemic Lupus Erythematosus (SLE): Inflammatory processes in the brain (neuropsychiatric lupus) can lead to depression.\\n 2.\\tRheumatoid Arthritis: Inflammation and chronic illness burden contribute to depressive symptoms.\\n 3.\\tInflammatory Bowel Disease (IBD): Crohn\\u2019s disease and ulcerative colitis are linked to depression due to chronic inflammation and illness impact.\\n\\n Infectious Diseases\\n 1.\\tHIV/AIDS: Direct effects of the virus, chronic inflammation, or psychosocial stressors can cause depression.\\n 2.\\tSyphilis: Neurosyphilis can cause mood changes, including depression.\\n 3.\\tLyme Disease: Late-stage Lyme disease may lead to neuropsychiatric symptoms, including depression.\\n 4.\\tViral Infections: Certain viral illnesses (e.g., Epstein-Barr virus, COVID-19) can have lingering neuroinflammatory effects, contributing to mood disturbances.\\n\\n Hematologic and Oncological Conditions\\n 1.\\tAnemia: Reduced oxygen delivery to tissues, including the brain, can cause fatigue and depression.\\n 2.\\tCancer: Tumor burden, treatment side effects (e.g., chemotherapy), and cytokine release can contribute to depressive symptoms.\\n 3.\\tParaneoplastic Syndromes: Autoimmune reactions associated with cancer may lead to neuropsychiatric symptoms.\\n\\n Nutritional Deficiencies\\n 1.\\tVitamin B12 Deficiency: Causes neuropsychiatric symptoms, including depression and cognitive impairment.\\n 2.\\tFolate Deficiency: Linked to mood disturbances due to impaired neurotransmitter synthesis.\\n 3.\\tVitamin D Deficiency: Associated with an increased risk of depression.\\n\\n Renal and Hepatic Disorders\\n 1.\\tChronic Kidney Disease (CKD): Uremia and the physical burden of dialysis can lead to depression.\\n 2.\\tLiver Disease: Hepatic encephalopathy or chronic illness burden can contribute to mood disturbances.\\n\\n Sleep Disorders\\n 1.\\tObstructive Sleep Apnea (OSA): Poor sleep quality and chronic fatigue are linked to depression.\\n 2.\\tChronic Insomnia: Persistent sleep disturbances contribute to mood dysregulation.\\n\\n Other Medical Conditions\\n 1.\\tChronic Fatigue Syndrome/Myalgic Encephalomyelitis (CFS/ME): Severe fatigue and other physical symptoms can lead to depression.\\n 2.\\tHyperparathyroidism: Elevated calcium levels can affect mood and cognition.\\n","I've been dealing with thyroid issues for a while now, and I think it's affecting my mood. There are days when I'm just so tired, and it feels like my body is working against me. It's frustrating because it adds to the sense that I'm losing control."
/ROOT/MDDROOT/SUB/MED/MANIC,1,"the patient has reported clinicallly significant manic or hypomanic symptoms. For instance, The patient reports feeling extremely happy, on top of the world, or having racing thoughts.","Sometimes I have these bursts of energy where I feel like I can conquer the world. My mind races with ideas, and I can't keep still. But those moments don't last long, and I crash hard afterward."
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS,0,"The criteria are met if the patient has experienced one or more major depressive episodes without any history of manic or hypomanic episodes. To determine if a major depressive episode has occurred, the following aspects must be examined:
1. Interest or pleasure in doing things
2. Sleeping conditions
3. Energy level
4. Appetite
5. Feelings of self-worth
6. Concentration when doing things
7. Changes in movement or speech
8. Suicidal ideation
9. Duration of at least 2 weeks
The decision should be based on an overall assessment of the severity of these aspects. If you think patient's response towards these aspects is severe enough (�5 symptoms during the same two week period that are a change from previous functioning) to cause marked impairment,then the criteria is met otherwise is not met.","While I've had my ups and downs, I haven't had periods where I felt consistently depressed for a long stretch. It's more like I swing between these highs and lows, and it's exhausting trying to keep up with myself."
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS/DEPEPS_HALL,0,"The patient meets the criteria if they acknowledge having a history (or currently suffering) of delusions or hallucinations. For instance, The patient reports hearing voices, seeing things that are not there, or experiencing other sensory perceptions that are not real. Or the patient reports having false beliefs that are not based on reality.","No, I've never experienced anything like hearing voices or seeing things that aren't there. It's more of an internal struggle with my thoughts and feelings."
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS/DEPEPS_HALL/DEPEPS_HALL_DUR,0,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,
/ROOT/MDDROOT/SUB/MED/MANIC/DEPEPS/DEPEPS_HALL/DEPEPS_HALL_DUR/MDD,0,Major depressive disorder,
