Node,Met_Criteria,Description,Patient_Story
ELEVATEDMOOD,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has an elevated or expansive mood,"I have elevated mood. I feel like I am on top of the world. I have been feeling incredibly euphoric, as if I could accomplish anything. I remember staying up late talking with friends, planning an elaborate trip that I impulsively decided we should take, and I even booked the hotel without thinking twice about the cost. However, it all came crashing down when I suddenly felt depressed and withdrawn, barely able to get out of bed for a few days afterward. The stark contrast between those highs and lows has left me feeling a bit confused and concerned about what’s happening to me."
SUB,False,"Determine if the patient's elevated or expansive mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","During the orientation for my art class, I felt inspired and uplifted, like my creative juices were flowing. This wasn't unusual for me; I often experience waves of excitement when I'm pursuing something I love. I’ve made sure to stay away from any substances like alcohol or drugs, so I know my mood is just a natural reaction to the positive changes in my life, not influenced by anything external."
MED,True,"Determine if the patient's elevated or expansive mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","Lately, I've been feeling more energetic and euphoric than ever, especially after I got diagnosed with hyperthyroidism. After starting treatment, I noticed how my mood seemed to lift, and I was unusually talkative with my friends at our weekly meet-up. I couldn't contain my enthusiasm, sharing every detail about my art class and how excited I was about life in general. It felt like the changes in my physical health were fueling this elevated mood, almost as if my body was responding to the medication in a way that made everything seem brighter."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I don't think I've noticed any decline in my cognitive abilities lately. In fact, I've been feeling quite sharp, especially when I’m working on my art projects. Just last week, I had an intense brainstorming session with my classmates where we bounced around ideas for our upcoming exhibition, and I was able to articulate my thoughts clearly and keep up with the discussions without any issues. I feel confident in my memory and focus, which seems to be better than ever since starting my treatment."
MEDBP,True,Bipolar and Related Disorder due to another medical condition,"I remember the day I went for my follow-up appointment after starting medication for my hyperthyroidism. As I sat in the waiting room, I felt a rush of excitement mixed with these intense mood swings; one moment I was practically bouncing in my seat, talking to anyone who would listen about my art class, and the next, I felt a wave of irritability wash over me, leaving me on edge. My psychiatrist noted that these fluctuations in mood could indeed be linked to my medical condition, which was a bit alarming, but it made sense given how dramatically my emotions shifted throughout the week."
SUB_SEV,False,"Evaluate if the elevated or expansive mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I do experience some periods of heightened enthusiasm, I wouldn’t say my mood is a primary concern. For instance, during our weekly meet-ups, I might feel excited and share my ideas passionately, but I can easily switch back to a calmer state when the conversation shifts. It’s more about riding the waves of my interests, rather than something that distresses me or impairs my daily life."
SIBP,False,Substance/Medication-Induced Bipolar Disorder,"I’ve never used substances like alcohol or drugs, and my psychiatrist has assured me that my mood swings are primarily linked to my thyroid condition. For example, just the other day, I was at a café with friends, sharing a laugh one moment and then feeling a bit irritable the next, but it felt connected to my body's fluctuations rather than any external influence. I’ve been proactive about my health, focusing on my treatment and making sure my mood changes are just a part of my journey, not a byproduct of substance use."
SI,False,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication,"I’ve never experienced any substance intoxication or withdrawal, as I’ve always been careful to avoid alcohol and drugs entirely. In fact, I often feel grateful that I haven't had to deal with any adverse effects from medications, especially since my psychiatrist has managed my hyperthyroidism treatment well. Just the other day, I mentioned to my doctor how I've been feeling energized from the medication without any negative side effects, which reassured me that I’m on the right track."
MNEUD,False,"Major or Mild Neurocognitive disorder due to another medical condition, with behavioral disturbance","I don't think I've experienced any significant cognitive decline or behavioral disturbances due to my hyperthyroidism. In fact, my focus and memory have both felt sharper since starting treatment, allowing me to engage fully in my art class. I remember discussing intricate techniques with my classmates without any trouble, feeling completely in control of my thoughts and actions during those conversations."
MANIC,False,"the patient has reported clinically significant manic. criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I've had some moments of feeling really excited and energetic, especially when talking about my new art class, but it usually lasts for just a few hours or even minutes, not a full week like they mentioned. For example, at our last meet-up, I was animated and chatty, but I settled down just as quickly when we started discussing other topics. It doesn't disrupt my daily life; it feels more like a boost rather than a manic episode."
MANIC_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced any delusions or hallucinations in my life. For instance, I've always been grounded in reality; I remember being at a gallery opening last month and enjoying the artwork without any strange thoughts or perceptions. I was fully present, appreciating the pieces and discussing them with friends, feeling connected to the experience without any unusual sensations or beliefs."
MANIC_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I've never experienced any psychotic symptoms during my mood changes. For example, when I feel euphoric about my art class, it’s always been tied to my excitement for my projects and the people I meet, not linked to any depressive or manic episodes. I remember a day where I was so absorbed in my painting that I lost track of time, but I was completely aware and present, without any signs of distorted thinking or perception."
BPIPSYC,False,Bipolar I disorder with psychotic features,"I haven't had any experiences that would suggest I have bipolar I disorder with psychotic features. For instance, while I do feel bursts of excitement about my art class, those feelings are rooted in my love for creativity and are not accompanied by any delusions or hallucinations. I've always been able to distinguish between my elevated mood and reality, as I remember engaging in meaningful discussions about art with friends without any confusion or distorted perceptions."
SCHIZ,False,Schizophrenia spectrum or other psychotic disorder,"I’ve never had any experiences that made me question my grip on reality. For example, just last week, I attended a local art exhibit where I was completely immersed in the artwork and had a wonderful conversation with a fellow artist. I felt grounded and aware of my surroundings, without any ridiculous or paranoid thoughts crossing my mind, just a genuine appreciation for the creativity around me."
BPI,False,Bipolar I disorder,"I walked into the café last week feeling excited about my art projects, but it was just a fleeting moment of joy rather than anything more extreme. I shared laughter with friends, and even though I felt a bit more energetic than usual, it never lasted too long—it was just a lively chat over coffee. When the topic changed, I easily transitioned to a more relaxed state, feeling completely in control of my emotions and aware of my surroundings, with no signs of mood instability that would suggest bipolar disorder."
