Node,Met_Criteria,Description,Patient_Story
ELEVATEDMOOD,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has an elevated or expansive mood,"I have elevated mood. I feel like I am on top of the world. I have been feeling incredibly euphoric, as if I could accomplish anything. I remember staying up late talking with friends, planning an elaborate trip that I impulsively decided we should take, and I even booked the hotel without thinking twice about the cost. However, it all came crashing down when I suddenly felt depressed and withdrawn, barely able to get out of bed for a few days afterward. The stark contrast between those highs and lows has left me feeling a bit confused and concerned about what’s happening to me."
SUB,False,"Determine if the patient's elevated or expansive mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","As I settled into the chair, I noticed how light and cheerful I felt, almost as if I was floating. I shared with the psychiatrist my recent pursuit of a healthier lifestyle, including daily yoga and a plant-based diet, which I believe have contributed to my overall happiness. I haven’t been using any substances like drugs or alcohol, so I feel confident that my mood is more about my positive life changes than any physiological effects."
MED,False,"Determine if the patient's elevated or expansive mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I mentioned to the psychiatrist that I recently had a check-up, and my doctor told me I was in good health with no underlying medical issues. I explained how my elevated mood seemed to stem from the excitement of new experiences in my life, not from anything physical. After all, I’ve been feeling this way since I started my new hobbies, and it hasn’t been linked to any health problems."
MANIC,False,"the patient has reported clinically significant manic. criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I smiled as I explained to the psychiatrist, ""Although I've been feeling really energetic and positive for the past few weeks, I wouldn't say it has lasted a full week or more. Just last weekend, I went on a spontaneous trip with friends, and we had a fantastic time hiking, but I’ve also had moments where I felt a little down in between those fun activities. It’s like a wave of excitement that comes and goes, rather than something consistent."""
HYPOMANIC,False,"The patient has reported hypomanic and at least one Major Depressive Epsidoe. Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","I recalled a time a few months ago when I felt a bit more down than usual. It lasted for a couple of weeks, and I had trouble getting out of bed, feeling overwhelmed by daily tasks. However, I haven’t experienced a prolonged period of elevated mood or consistent energy that would qualify as a hypomanic episode, so I believe my feelings are just part of the ups and downs of life."
HYPOMANICDEP,False,The criteria are met if the patient explicitly reported at least 2 years of hypomanic symptoms along with periods of depressed mood. Duration should be explicitly asked.,"I shared with the psychiatrist, ""I've definitely had some low moments, like a couple of months ago when I felt really down for about two weeks. I struggled to get out of bed and often felt overwhelmed. But I can't say I've had those hypomanic highs lasting longer than a few days, if that. It's mostly just been some ups and downs, nothing that sticks around consistently."""
GAMB,False,The criteria is met if elevated or euphoric mood confined to periods of gambling,"I thought about my occasional trips to the casino with friends and how they’re full of laughter and fun. While I do enjoy the excitement of gambling, my mood actually remains pretty stable; I don't feel euphoric or elevated during those times, just lighthearted. After a night of playing poker, I usually leave the same as I arrived, with no noticeable ups or downs tied to the experience."
OTH,True,"The criteria are met if the patient exhibits a maladaptive response to a psychosocial stressor, meaning their response is disproportionate or ineffective, leading to significant distress or impairment in functioning.","Recently, I faced a significant dilemma at work when my team was given an urgent project with a tight deadline. Instead of calmly organizing my tasks, I found myself spiraling into anxiety, unable to focus or make decisions. I spent late nights stressing over every detail, leading to exhaustion and impacting my relationships at home, as I snapped at my partner over small things due to my overwhelming stress and frustration."
OTHBP,True,Other specified bipolar and related disorder; unspecified bipolar and related disorder,"During our session, I shared with the psychiatrist a vivid memory from a few weeks ago when I experienced a sudden rush of energy that lasted for several days. It was during a weekend when I decided to tackle an ambitious home renovation project, and I found myself working from dawn until dusk, feeling invincible and even neglecting sleep. However, after that intense period, I crashed and felt extremely low for a week, struggling to find motivation to even get out of bed, which made me wonder if there was something more going on with my mental health."
SUB_SEV,False,"Evaluate if the elevated or expansive mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","As I sat in the psychiatrist's office, I shared how I had been feeling generally positive and excited about my new hobbies, like painting and hiking, but I emphasized that these feelings come in waves. While I sometimes experience a burst of energy, like during a recent home renovation project, it was followed by a period of feeling quite low and lacking motivation. Overall, I see my mood fluctuations as part of life’s ups and downs rather than something that significantly disrupts my daily functioning or requires clinical attention."
