Node,Met_Criteria,Description,Patient_Story
ELEVATEDMOOD,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has an elevated or expansive mood,"I have elevated mood. I feel like I am on top of the world. I have been feeling incredibly euphoric, as if I could accomplish anything. I remember staying up late talking with friends, planning an elaborate trip that I impulsively decided we should take, and I even booked the hotel without thinking twice about the cost. However, it all came crashing down when I suddenly felt depressed and withdrawn, barely able to get out of bed for a few days afterward. The stark contrast between those highs and lows has left me feeling a bit confused and concerned about what’s happening to me."
SUB,False,"Determine if the patient's elevated or expansive mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","As I chatted with the psychiatrist, I mentioned how my mood had been bright and cheerful lately, especially since I started painting again. It wasn't tied to any substances; I had completely cut out alcohol a few months ago and hadn't touched any drugs, focusing instead on the joy of creativity and spending time with friends. My excitement felt natural and organic, stemming from my new passion rather than any physiological influences."
MED,False,"Determine if the patient's elevated or expansive mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I've been feeling really uplifted and inspired lately, especially after starting a new painting class. Just last Saturday, I hosted a small get-together with friends at my place, filled with laughter and creativity as we painted together. I’ve been in good health, with no underlying medical conditions affecting my mood; this happiness comes purely from my passion for art and my social connections, not from any physical issues."
MANIC,True,"the patient has reported clinically significant manic. criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","Over the past week, I’ve been on a creative high like I’ve never experienced before. I remember waking up at 5 AM, unable to contain my excitement about a new painting project, and spent hours working on it without feeling tired at all. My friends even commented on how I seemed almost electric, organizing impromptu art nights and engaging in deep conversations that went on until dawn, which made me feel like I was on top of the world."
MANIC_HALL,True,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"During our conversation, I hesitated before sharing something more troubling. I recalled a few months back when I was alone in my apartment, and I distinctly heard someone calling my name. I remember feeling a chill run down my spine as I looked around, convinced that someone was there, but I was completely alone. It was unsettling to feel so certain about it, almost as if my mind was playing tricks on me."
MANIC_HALL_PSYC,True,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"Recently, I’ve noticed that during these manic episodes, my thoughts come racing in and out, and I sometimes find myself thinking that I’m destined for greatness. Just last week, while hosting an art night, I suddenly felt like a famous painter, imagining my artwork hanging in galleries all over the world. I started sharing these lofty thoughts with my friends passionately, but I could sense their puzzled expressions; they seemed concerned as I went on about my “grand vision” despite it being just an evening of painting."
BPIPSYC,True,Bipolar I disorder with psychotic features,"I've been experiencing some intense mood swings lately that have caught me off guard. Just last month, I was in a state of euphoria, believing I could achieve anything, and threw a spontaneous rooftop party with friends, where I shared my grand ambitions of becoming a world-renowned artist. However, there have been moments of deep despair, like when I was laying in bed for days, convinced that nothing mattered, and I couldn't even pick up a paintbrush. During these lows, I sometimes hear whispers, as if someone is trying to communicate with me, which makes it all the more confusing."
SUB_SEV,False,"Evaluate if the elevated or expansive mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I've definitely been feeling uplifted lately, I wouldn’t say my elevated mood is a major concern. Just yesterday, I spent the afternoon at the park with friends, enjoying a picnic and chatting about our latest art projects. It felt good to be happy and engaged, but I don’t think it has significantly impacted my daily life or caused me any distress; I’m just enjoying a phase of positivity that feels quite normal for me."
SIBP,False,Substance/Medication-Induced Bipolar Disorder,"I've completely steered clear of any substances lately, especially since I made a conscious choice to stop drinking back in March. I’ve been focusing on my painting and social activities instead, so I don't think anything I'm experiencing could be attributed to substance use—it's all part of my recent journey of self-discovery and creativity."
SI,False,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication,"I recently realized that I haven't had any adverse effects from medication or experienced withdrawal symptoms. A while back, I had been prescribed an antidepressant, but after a couple of months, I spoke with my doctor and decided to stop taking it because I felt better. Since then, I've been completely medication-free, and I haven’t experienced any negative side effects or cravings at all—just a sense of relief and clarity as I embrace my newfound passion for painting."
