Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"As I sat in the waiting room, I couldn't shake the feeling of heaviness in my chest. I kept thinking about how I had lost my job recently and how isolated I felt since my friends had stopped inviting me out. When the psychiatrist greeted me, I forced a smile but inside I felt overwhelmed with sadness and uncertainty about this visit."
SUB,True,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","Lately, I've been relying on alcohol to cope with my feelings of sadness after losing my job. I usually drink about four to five beers every evening to numb the pain, but I noticed that the more I drink, the more my mood worsens the next day. Last weekend, I had such a heavy hangover that I couldn't even get out of bed, and the feeling of despair seemed to amplify, leaving me questioning if I could ever feel better again."
SUB_SEV,True,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","As I sat in the psychiatrist's office, I could feel my heart racing, overwhelmed by the weight of my sadness. The thought of being unemployed and alone consumed me, making it hard to focus on anything else. I kept replaying memories of happier times with friends, but now those thoughts only deepened my sense of hopelessness, leaving me paralyzed in my own mind."
SIDD,True,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
MED,False,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I don't have any significant medical conditions affecting my mood. I used to have mild asthma as a child, but it hasn't been a problem for years. I feel that my sadness is mainly tied to my recent job loss and the isolation I've experienced since then, rather than any physical health issue."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","Lately, I’ve noticed that I can still focus on tasks like reading or managing my finances without any trouble. Just the other day, I organized my budget for the month while preparing dinner, and I felt proud of how well I managed both without feeling overwhelmed. My memory seems to be intact as well; I can recall details from conversations I've had and remember appointments easily, so I don't think there's a decline in my cognitive abilities affecting my daily life."
MNEUD,False,"major or mild neurocognitive disorder due to another medical condition, with behavioral disturbance",
MEDDD,False,Depressive disorder due to another medical condition,
MANIC,False,the patient has reported clinicallly significant manic or hypomanic symptoms,"I haven’t experienced any manic or hypomanic symptoms since my job loss. I find myself feeling overwhelmingly sad most days, but I don’t have any bursts of energy or heightened mood. Just the other night, I sat on the couch for hours, wrapped in a blanket, feeling completely drained and unable to find motivation to do anything, which is the opposite of feeling manic."
MANIC_DUR,False,"criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I haven’t experienced any periods of elevated or expansive mood in recent times. In fact, since losing my job, my days have been filled with a heavy sadness that keeps me from engaging in much of anything. Just last week, I sat in my living room for hours, feeling listless and unmotivated, which is a sharp contrast to the energy I often hear described in manic episodes."
MANIC_DUR_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced delusions or hallucinations. I often find myself simply overwhelmed by my thoughts and feelings. For instance, when I’m sitting alone at home, I might hear the sound of my phone buzzing and think someone is trying to reach out to me, but then I check and see it’s just the quiet of my empty living room. It's frustrating, but I know it's just my mind playing tricks, not a sign of something more serious."
MANIC_DUR_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I haven’t experienced any psychotic symptoms during my ongoing sadness or since losing my job. My mood has been consistently low, and while I often feel overwhelmed, it hasn’t been accompanied by any delusions or hallucinations. Just last week, I couldn't stop ruminating about my situation, but it was purely based on my feelings of despair, not a sign of any break from reality."
BPIPSYC,False,Bipolar I disorder with psychotic features,
SCHIZ,False,Schizophrenia spectrum or other psychotic disorder,
BPI,False,Bipolar I disorder,
MANIC_DUR_HYPO,False,"Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","I haven’t felt elevated or irritable in mood at all; my days have been consumed by a persistent sadness since losing my job. Just the other day, I sat on my bed for hours, staring blankly at the wall, feeling completely drained and trapped in my thoughts. I remember feeling a deep sense of fatigue, and I couldn’t even muster the energy to go for a walk, which is the exact opposite of what I hear people describe during hypomanic episodes."
MANIC_DUR_HYPO_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced any delusions or hallucinations in my life. For example, when I’m deep in thought about my job loss, I may sometimes imagine the sound of my phone ringing, but I know it’s just my mind wandering. I can distinguish clearly between my thoughts and reality, and it’s just the overwhelming nature of my emotions that cloud my mind, not any false perceptions."
MANIC_DUR_HYPO_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I haven’t experienced any psychotic symptoms at any point in my life, especially not during my current state of sadness. For instance, even though I sometimes feel overwhelmed by my emotions and get lost in my thoughts, like when I replay memories of my job and the friendships I've lost, I’m fully aware that these are just my feelings and not any sort of delusional thinking. Just the other day, I was sitting in my living room, reflecting on my past, but I clearly recognized that those thoughts were tied to my sadness, rather than any break from reality."
BPIIPSYC,False,Bipolar II disorder with psychotic features,
SCHIZ2,False,Schizophrenia spectrum or other psychotic disorder,
BPII,False,Bipolar II disorder,
MANIC_DUR_HYPO_DUR,False,The criteria are met if the patient explicitly reported at least 2 years of hypomanic symptoms along with periods of depressed mood. Duration should be explicitly asked.,"I haven't had any hypomanic symptoms in my life. Since losing my job, my mood has been consistently low, and I can't remember a time when I felt uplifted or energetic. Last month, I spent an entire weekend on the couch, feeling completely drained and unable to engage in anything I once enjoyed, which feels worlds apart from any hypomanic experience I’ve heard about."
CYC,False,Cyclothymic,
OTHBP,False,Other specified bipolar and related disorders or unspecified bipolar and related disorders,
