Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I've been feeling pretty down lately, especially after losing my job a few months ago. It's been hard to get out of bed in the morning, and I often find myself just staring out the window for hours. My friends have noticed that I'm not quite myself and have been encouraging me to talk to someone about what I'm going through."
MANIC,True,the patient has reported clinicallly significant manic or hypomanic symptoms,"Lately, I’ve been experiencing these incredible bursts of energy that seem to come out of nowhere. Just last week, after having a long night at a bar with friends, I ended up pulling an all-nighter working on a new project, convinced it was going to be the next big thing. I felt like I could take on the world, talking really fast and making plans for a million things at once, but then I’d crash hard the next day, feeling completely wiped out."
MANIC_DUR,False,"criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I’ve never experienced a week of feeling elevated or excessively energetic. Instead, my mood has mostly been low since I lost my job, and while I do get bursts of energy occasionally, they don’t last long enough or feel sustained. For instance, last month, I cleaned the whole house in a day and felt productive, but that was just a rare instance, and then I returned to my usual state of feeling down and unmotivated the following days."
MANIC_DUR_HYPO,False,"Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","I’ve definitely had moments where I feel a surge of energy, like when I cleaned the whole house last month, but those moments don’t last. More often, I find myself stuck in a cycle of sadness and lack of motivation since losing my job. I can't recall a time where I've felt elevated or irritable for four consecutive days – it’s more like occasional bursts that quickly fade away."
MANIC_DUR_HYPO_DUR,False,The criteria are met if the patient explicitly reported at least 2 years of hypomanic symptoms along with periods of depressed mood. Duration should be explicitly asked.,"I’ve been feeling really low for the past several months, especially since losing my job, but I can't say that I've had extended periods of hypomanic symptoms. I've had occasional moments of increased energy, like when I cleaned the whole house in a day, but those instances are rare and don’t last long. I mostly feel stuck in a rut, with more bad days than good, and my mood definitely doesn’t swing in a sustained way like that."
OTHBP,True,Other specified bipolar and related disorders or unspecified bipolar and related disorders,
SUB,False,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I haven’t been using any substances lately, so I don’t think my mood is affected by anything like that. I stopped drinking alcohol altogether about six months ago after realizing it was making me feel worse. My doctor prescribed me an antidepressant a little while back, but I’ve been taking it consistently and don't notice any major changes in my mood related to it."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I've been feeling quite down lately and it's definitely affected my motivation and outlook on life, I wouldn't say it's a significant enough concern that it disrupts my daily functioning too severely. I still manage to get through my routine, even if it's with less enthusiasm, and I’m able to enjoy moments with my friends when they invite me out, even if I sometimes feel like I'm just going through the motions. Overall, I recognize my mood isn't great, but I don't feel it warrants clinical attention at this point."
SIDD,False,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
MED,False,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I don't have any major medical conditions affecting my health; I've been overall fairly active and healthy. The sadness I've been feeling seems to stem primarily from losing my job rather than any physical issues. For instance, the other day, I went for a run, which usually helps clear my mind, but I still ended up feeling low afterward, thinking about my career and future."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I don’t think I’ve noticed any significant decline in my cognitive abilities. Just the other day, I was able to plan a small gathering for my friends, and I remembered details about their favorite foods and drinks without any issues. I’ve been able to focus on my tasks, like job applications and household chores, even if my motivation ebbs and flows. Overall, while I’m feeling low, my cognitive function seems intact, and I manage to get things done."
MNEUD,False,"major or mild neurocognitive disorder due to another medical condition, with behavioral disturbance",
MEDDD,False,Depressive disorder due to another medical condition,
MANIC_DUR_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced any delusions or hallucinations, to be honest. I sometimes feel overwhelmed by my emotions, especially after losing my job, but it’s always been in a way that makes sense to me—I recognize my sadness and frustration. Just the other day, I was talking to a friend about my feelings, and I was completely aware of what was real and what wasn’t, no strange thoughts or visions."
MANIC_DUR_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I’ve been feeling pretty low for a while now, and I can't say that I've experienced any psychotic symptoms tied to mood episodes. There was one time when I felt really down and started to hear my neighbor’s music in a way that felt like it was being directed at me, but that was just a fleeting moment of heightened anxiety, not something that lasted through a depressive or manic episode. Most of the time, I’m just dealing with sadness and occasional bursts of energy that come and go without any confusion about reality."
BPIPSYC,False,Bipolar I disorder with psychotic features,
SCHIZ,False,Schizophrenia spectrum or other psychotic disorder,
BPI,False,Bipolar I disorder,
MANIC_DUR_HYPO_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never had any experiences with delusions or hallucinations. For example, even during my toughest times after losing my job, I’ve always been clear about what’s real and what’s not. Just last week, I was sitting with a close friend, talking about my feelings, and I was fully aware of everything around me without any strange thoughts or perceptions intruding my mind."
MANIC_DUR_HYPO_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I’ve been feeling pretty low lately, especially since I lost my job, but I haven’t experienced any psychotic symptoms during those times. There was one instance when I felt overwhelmed and thought my neighbor's music was directed at me, but it was just a brief moment of anxiety that didn’t last. Overall, I remain aware of reality and don't have any confusion or delusions; my struggles are rooted in my sadness and lack of motivation."
BPIIPSYC,False,Bipolar II disorder with psychotic features,
SCHIZ2,False,Schizophrenia spectrum or other psychotic disorder,
BPII,False,Bipolar II disorder,
CYC,False,Cyclothymic,
DEPEPS,False,"The criteria are met if the patient has experienced one or more major depressive episodes without any history of manic or hypomanic episodes. To determine if a major depressive episode has occurred, the following aspects must be examined:
1. Interest or pleasure in doing things
2. Sleeping conditions
3. Energy level
4. Appetite
5. Feelings of self-worth
6. Concentration when doing things
7. Changes in movement or speech
8. Suicidal ideation
9. Duration of at least 2 weeks
The decision should be based on an overall assessment of the severity of these aspects, considering the patient's responses across all areas (not all aspects need to be abnormal). The duration of symptoms should be explicitly asked and confirmed as lasting at least 2 weeks before making a final decision. Be really caucious when making the decision!","For the past few weeks, I've been feeling quite low, particularly after losing my job. I've noticed that I don't find pleasure in activities I used to enjoy, like going for runs or meeting friends, and I've had trouble sleeping, often waking up in the middle of the night without being able to go back to sleep. Despite all this, I wouldn't say I've had a major depressive episode since I can still manage my daily tasks and occasionally experience brief moments of enjoyment."
DEPEPS_HALL,False,The criteria are met if the patient acknowledges having a history of delusions or hallucinations.,"I’ve never had any experiences with delusions or hallucinations. Just the other day, I was sitting in my living room, feeling sad, and I could hear the neighbor's dog barking outside. I understood it was just a dog, and even during the toughest times since losing my job, I've always been clear about reality and what I’m feeling. I was talking to my friend about my job search, and everything we discussed was grounded in reality—no strange thoughts or perceptions at all."
DEPEPS_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I’ve been feeling really down for a while after losing my job, but I can’t say I’ve had any psychotic symptoms during these low periods. There was a moment recently when I felt a surge of anxiety and thought my neighbor's music was too loud, almost like it was directed at me, but that was fleeting and didn’t last long, certainly not tying into a major depressive episode. For the most part, I’m just dealing with my sadness and occasional bursts of energy without any confusion about what's real."
DEPEPS_HALL_PSYC_DUR,False,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I can definitely say that I've been feeling down for months now, but it's not something that's lasted continuously for two years. Since losing my job, I've experienced prolonged sadness and difficulty finding joy in activities, but this is all relatively new to me, and I can still remember times when my mood was better before this current situation."
MDDPDDPSYC,False,"Major depressive disorder with psychotic features, plus persistent depressive disorder",
MDDPSYC,False,Major depressive disorder with psychotic features,
SCHIZ3,False,Schizophrenia spectrum or other psychotic disorder,
DEPEPS_HALL_DUR,False,The criteria are met if the patient explicitly reported a duration of the depressive episode lasting 2 years or longer. The duration should be explicitly asked,"I’ve been feeling low since I lost my job a few months ago, but I can’t say this has been going on for two years or longer. Before this period, I had ups and downs like everyone else, and I remember feeling content and motivated in my career. Right now, it’s tough, but I definitely can't claim it’s been a continuous struggle for that long."
MDDPDD,False,Major depressive disorder plus persistent depressive disorder,
MDD,False,Major depressive disorder,
DUR,False,"The criteria are met if the patient explicitly reported experiencing a depressed mood more days than not for at least 2 years, accompanied by associated symptoms. The duration should be explicitly asked","Since losing my job a few months back, I’ve certainly been feeling low and having more bad days than good, but I can’t say that it’s been lasting longer than that. Before this, I had periods of feeling fine and even happy at times, so this recent sadness is new to me. I remember enjoying activities and having a more positive outlook just last year, so I can’t meet the two-year criteria for a depressed mood."
PDD,False,persistent depressive disorder,
DEPFW,False,"The criteria are met if the patient experiences a depressed mood that is regularly present in the final week before the onset of menses and becomes absent in the week after menses. This mood disturbance must be associated with clinically significant distress or interference with work, school, usual social activities, or relationships with others.","I’ve been feeling down for a while now, but I can't say it's tied to my menstrual cycle. It often seems to fluctuate regardless of my cycle, with periods of sadness that come and go without a clear pattern. Just last month, I felt low for a week after losing a job opportunity, but I can’t relate this to my menses; my mood doesn't seem to align with it that way."
PDYSD,False,Premenstrual dysphoric disorder,
DEPCOM,False,"The criteria are met if the patient's depressed or dysphoric mood is an associated feature of another mental disorder (e.g., ""demoralization"" related to having Obsessive-Compulsive Disorder).","I've been feeling pretty low since losing my job a few months ago, but it's mostly related to the stress and uncertainty of my situation, not due to another mental disorder. Although I have occasional moments of feeling overwhelmed, they seem to stem from my current circumstances rather than being a symptom of something deeper like OCD or anxiety. For instance, last week, I had a panic attack about my finances, but it was clearly triggered by my job loss rather than an underlying mental health issue."
DEPCOM_DIST,False,"The criteria are met if the mood disturbance is clinically significant, meaning it causes substantial distress or impairment in the patient�s daily functioning.","While I've been feeling down since losing my job, I wouldn't say it's caused me significant distress or impairment in my daily functioning. I still manage to get up and take care of my household chores and occasionally go out with friends, even if I do it with less enthusiasm. For example, last Saturday, I joined a couple of friends for lunch, and although I wasn't feeling my best, I was able to engage in conversation and enjoy their company without any major issues."
OTHDD,False,Other specified depressive disorder; unspecified depressive disorder,
NOTDD,False,No mood disorder diagnosis needed,
OTH,False,"The criteria are met if the patient exhibits clinically significant depressive symptoms not covered by other criteria, which represent a psychological or biological dysfunction in the individual. These symptoms must be severe enough to impact the patient's functioning or well-being.","Since losing my job a few months ago, I've definitely been feeling down and unmotivated, but I can still get through my daily routine. For instance, last week, I managed to submit a couple of job applications and even went out for coffee with a friend, even though I wasn't particularly enthusiastic about it. While I've had more bad days than good, I wouldn't say that my mood has significantly impaired my overall functioning—I'm still able to do the basics."
OTH_MALA,False,"The criteria are met if the patient exhibits a maladaptive response to a psychosocial stressor, meaning their response is disproportionate or ineffective, leading to significant distress or impairment in functioning.","Even though I've been feeling quite low since losing my job a few months ago, I wouldn't say my response to this stressor is maladaptive. For instance, I’ve been trying to establish a routine to apply for jobs and maintain social connections, like going out for coffee with a friend last week. While I do have bad days, I still manage to take care of my daily responsibilities and engage in activities that help me cope, so I don't feel like I'm significantly impaired by my mood."
ADJD,False,Adjustment disorder with depressed mood,
OTHDD2,False,Other specified depressive disorder; unspecified depressive disorder,
NORMALBLUE,False,"""Normal"" everyday blues",
