Node,Met_Criteria,Description,Patient_Story
ELEVATEDMOOD,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has an elevated or expansive mood,"I have elevated mood. I feel like I am on top of the world. I have been feeling incredibly euphoric, as if I could accomplish anything. I remember staying up late talking with friends, planning an elaborate trip that I impulsively decided we should take, and I even booked the hotel without thinking twice about the cost. However, it all came crashing down when I suddenly felt depressed and withdrawn, barely able to get out of bed for a few days afterward. The stark contrast between those highs and lows has left me feeling a bit confused and concerned about what’s happening to me."
SUB,False,"Determine if the patient's elevated or expansive mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I've noticed that my mood has been generally positive these past few weeks, but I wouldn't attribute it to any substances. I don’t drink alcohol or use drugs, and the only medication I take is for my asthma, which hasn’t changed. I just feel more energetic and optimistic lately, and it's been a nice change."
MED,False,"Determine if the patient's elevated or expansive mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I recently had a routine check-up for my asthma, and the doctor mentioned that my physical health is stable. I left feeling relieved, and I couldn’t help but notice how my upbeat mood seemed to be in tandem with that good news. I’ve been engaging with friends more and enjoying activities that I used to love, but I don’t think my mood is related to any health issues—it just feels like a natural boost."
MANIC,False,"the patient has reported clinically significant manic. criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I appreciate the concern, but I haven't experienced anything like a manic episode. Sure, I've felt more energetic and positive over the last few weeks, but it's not been anything extreme or lasting. My friends have noticed my upbeat mood, but I still manage my daily responsibilities without feeling overly hyperactive or impaired."
HYPOMANIC,True,"The patient has reported hypomanic and at least one Major Depressive Epsidoe. Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","Lately, I’ve been on quite a rollercoaster with my emotions. There was a stretch of about a week where I felt almost invincible; I was staying up late working on creative projects and planning outings with friends, filled with ideas and energy. But then, right after that high, I crashed hard—crying for no reason and feeling completely hopeless for several days, struggling just to get out of bed. It’s like I was stuck in a fog, and I couldn’t shake the weight of it."
HYPOMANIC_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced any delusions or hallucinations. There have been moments where I’ve felt a bit overwhelmed with my emotions, but it’s always been clear to me what’s real and what’s not. For instance, after that tough week of feeling down, I was sitting in my living room with a friend, and we were just chatting about life. I was completely present and aware, not seeing or hearing anything out of the ordinary."
BPII,True,Bipolar II disorder,"I’ve been feeling like my mood swings have become a bit more pronounced lately. Just last month, I had an incredible week where I felt unstoppable—I was staying up late, excitedly diving into multiple projects, and socializing nonstop. However, that high quickly shifted to a low; the following week, I found myself crying for hours, overwhelmed by a sense of despair and isolation that I couldn't shake. It’s like I’m on a continuous cycle between these two extremes, and it’s starting to worry me."
SUB_SEV,False,"Evaluate if the elevated or expansive mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","I've noticed that my mood has been somewhat elevated recently, but I wouldn't say it's a primary concern for me. For instance, during a gathering with friends last weekend, I was really engaging and laughing a lot, which felt good. However, I also managed to keep up with my usual responsibilities and didn't feel like it was affecting my daily life in a significant way, so it doesn't seem severe enough to require clinical attention."
SIBP,False,Substance/Medication-Induced Bipolar Disorder,"I've been reflecting on my mood swings, but I can confidently say that they aren't related to any substance use. I don't use alcohol or drugs at all, and the only medication I take is for my asthma, which is well-managed. I’ve enjoyed periods of elevated mood, but I believe that's just a natural part of my personality rather than anything induced by substances."
SI,False,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication,"I really don’t have any experiences with substance use or withdrawal; I’ve never drunk alcohol or tried drugs. The only medication I take is for my asthma, and it’s been stable for some time now with no adverse effects. I feel fortunate that my health is good and I’m not facing any complications from my medication."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I haven't noticed any significant decline in my cognitive abilities at all. Just the other day, I was able to focus for hours while planning a surprise party for my best friend. I even remembered to organize every detail, from the guest list to the decorations, without feeling overwhelmed or confused. My friends often tell me that they admire how organized I am, so I feel confident that I'm managing everything just fine."
MNEUD,False,"Major or Mild Neurocognitive disorder due to another medical condition, with behavioral disturbance","I’ve never experienced any significant behavioral disturbances related to medical conditions. In fact, just last week, I had a productive meeting at work where I was able to present my ideas clearly and engage with my colleagues without any issues. My asthma management is stable, and I feel like my mental clarity and focus have remained consistent, allowing me to navigate my daily life effectively."
MEDBP,False,Bipolar and Related Disorder due to another medical condition,"I appreciate the inquiry, but I don't believe I meet the criteria for having bipolar disorder related to another medical condition. My asthma has been stable for years, and it hasn't affected my mood or emotional health in any way. In fact, I recently had a thorough check-up, and my doctor assured me that my asthma management is excellent, so I don't think there's any link to mood fluctuations."
MANIC_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never had any delusions or hallucinations. Just last week, I was hanging out with my friend at a café, and we were joking around while enjoying our drinks. I was completely in touch with reality and could distinguish between what was happening around us and any of my thoughts or feelings. Everything felt clear and normal during our conversation."
MANIC_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"During the past few months, I've experienced these intense emotional highs and lows, but they don't seem to be connected to any specific manic or depressive episodes. For instance, last week, I felt genuinely happy and positive while planning a weekend getaway with friends, but that didn't come after a period of extreme mood or dysfunction; it just came about naturally as my social life picked up. I can distinctly remember feeling cheerful while going for an evening walk and enjoying the sunset, not under the influence of any severe mood changes or psychotic symptoms, just a part of my regular emotional experience."
