Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I've been feeling really down lately. Just last week, I was supposed to meet up with my old friends at a café downtown, but I cancelled last minute. I sat on my couch instead, staring at the wall, feeling so unmotivated and hopeless about everything. It's hard to find joy in anything anymore, even when I try to think of things that used to make me happy."
MANIC,True,the patient has reported clinicallly significant manic or hypomanic symptoms,"A few weeks ago, I suddenly felt this burst of energy that I couldn't explain. I started cleaning my entire apartment at 2 a.m., blasting music and dancing around. I even called up my friends and convinced them to join me for an impromptu party, even though it was a weekday. I barely slept that week, feeling invincible and full of ideas, but now I look back and wonder if I went too far."
MANIC_DUR,True,"criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","Last month, I experienced this intense surge of energy that lasted for over a week. My mood was through the roof, and I was bouncing off the walls; I organized three gatherings in just four days and even took up painting late at night, something I hadn’t done in years. I felt like I could conquer the world, but looking back, I realize that my friends were concerned about my lack of sleep and how I kept pushing them to join me in my whirlwind of activities."
MANIC_DUR_HALL,True,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I've had some troubling experiences lately that I can't quite explain. A few weeks ago, during one of my low periods, I was convinced that I could hear my late grandmother's voice calling my name while I was in bed. I remember sitting up and looking around the room, but there was nobody there. It felt so real at the moment, and it left me feeling scared and confused about what was happening to me."
MANIC_DUR_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I’ve experienced some unusual moments, but I don't think they fall exclusively into manic or depressive episodes. Just last week, while feeling relatively stable, I had a vivid experience where I thought I saw my neighbor in my living room, even though I was home alone. It was a brief moment that startled me, but I brushed it off and continued with my day. I haven't had significant mood changes accompanying these experiences, so I'm not sure if they align with the criteria."
SCHIZ,True,Schizophrenia spectrum or other psychotic disorder,
SUB,False,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I don't think my depressed mood is related to any substance use. I’ve never really been into drinking or drugs; in fact, I avoid alcohol completely because I don't like how it makes me feel. I’ve been on a low dose of antidepressants prescribed by my doctor for anxiety, but I’ve been consistent with my medication, and my mood changes don’t seem to correlate with anything I take."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I've been feeling down and unmotivated lately, I wouldn't say it's significant enough to require clinical attention. For instance, last weekend, I decided to skip a family gathering because I just didn't feel like socializing, but I still managed to go for a walk in the park the next day. I can feel a bit of sadness from time to time, but it hasn't impacted my daily activities or relationships to the point where I can't manage on my own."
SIDD,False,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
