Node,Met_Criteria,Description,Patient_Story
MDDROOT,True,ask patient necessary ice-breaking questions (such as what's the purpose of visit or any necessary question to make patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria is met when the patient has depressed mood,"I've been feeling really down lately, and it's been tough to get through the day. Just last week, I couldn't bring myself to go out for my friend’s birthday dinner, even though I had promised I would. I sat at home, feeling disconnected and sad, while everyone else was celebrating."
DEPCOM,True,"The criteria are met if the patient's depressed or dysphoric mood is an associated feature of another mental disorder (e.g., ""demoralization"" related to having Obsessive-Compulsive Disorder).","Lately, I've noticed that my mood has been heavily influenced by my obsessive-compulsive disorder. Just the other day, I spent hours rearranging books on my shelf, but even after doing it multiple times, I still felt an overwhelming sense of dread and dissatisfaction. This constant battle with my thoughts often leaves me feeling demoralized, as if no matter how much I try to manage my compulsions, I’m still trapped in a cycle of sadness and frustration."
DEPCOM_DIST,False,"The criteria are met if the mood disturbance is clinically significant, meaning it causes substantial distress or impairment in the patient�s daily functioning.","While I've had moments of feeling down, I wouldn’t say it's significantly affecting my daily life. For instance, I still go to work and interact with my colleagues without much trouble. Just last week, I had a productive meeting and even managed to finish a project ahead of schedule, which felt rewarding despite my earlier feelings of sadness."
NOTDD,True,No mood disorder diagnosis needed,
SUB,False,"Determine if the patient's depressed mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I don’t think my mood changes are linked to any substance use. I don’t drink alcohol or use drugs, and I’m not on any medications that would affect my mood. I’ve been trying to focus on other aspects of my life, like my work and hobbies, to help manage how I feel."
SUB_SEV,False,"Evaluate if the depressive symptoms reported by the patient are the primary focus of the clinical picture and are of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I have experienced some low moments, they often come and go without significantly interrupting my daily routine. For example, even though I felt sad and disconnected during my friend’s birthday dinner, I was back to my regular self the next day at work, engaging with my team and completing tasks efficiently. My depressive feelings don't dominate my life; instead, I find ways to cope and maintain my usual activities without much impairment."
SIDD,False,substance/medication-induced depressive disorder,
SI,False,substance intoxication; substance withdrawal;other adverse effect of medication,
MED,False,"Determine if the patient's depressed mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","I have a chronic condition called hypothyroidism, but I've been managing it well with medication. I’ve noticed that even when my thyroid levels are stable, I can still feel down sometimes, usually due to stress at work or personal matters, rather than my physical health. For instance, just last week, I had a particularly challenging project deadline, and although I felt stressed, it didn't seem to stem from my medical condition."
MED_COG,False,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","I haven't noticed any significant decline in my cognitive abilities that would impact my daily life. For example, I recently helped organize a team project at work, where I was responsible for brainstorming ideas and presenting them. I was able to clearly outline my thoughts and collaborate effectively with my colleagues, and I didn’t have any trouble focusing or remembering details throughout the process."
