Node,Met_Criteria,Description,Patient_Story
ELEVATEDMOOD,True,ask the patient necessary ice-breaking questions (such as what's the purpose of the visit or any necessary question to make the patient feel comfortable and build connections; these are not related to the symptoms and it is only for ice-breaking) to initiate the interview. the criteria are met when the patient has an elevated or expansive mood,"I have elevated mood. I feel like I am on top of the world. I have been feeling incredibly euphoric, as if I could accomplish anything. I remember staying up late talking with friends, planning an elaborate trip that I impulsively decided we should take, and I even booked the hotel without thinking twice about the cost. However, it all came crashing down when I suddenly felt depressed and withdrawn, barely able to get out of bed for a few days afterward. The stark contrast between those highs and lows has left me feeling a bit confused and concerned about what’s happening to me."
SUB,False,"Determine if the patient's elevated or expansive mood is primarily due to the physiological effects of a substance, such as drugs, alcohol, or medications for any medical conditions. The criteria is met when the patient's mood disturbance is directly linked to the substance's effects.","I’ve been feeling really good lately, but I haven’t used any substances that could affect my mood. I did have a celebratory dinner with friends where we enjoyed some wine, but I only had one glass and that was a week ago. My energy and happiness just came from the fun experiences I've had recently, like planning that birthday party."
MED,True,"Determine if the patient's elevated or expansive mood is primarily caused by the physiological effects of a general medical condition, such as physical health issues. This assessment should focus on whether the mood disturbance is directly linked to the underlying medical condition.","Lately, I've noticed that my mood has been incredibly elevated, which I initially attributed to my recent successes and social outings. However, I was diagnosed with hyperthyroidism a few months back, and since then, my doctor has mentioned that the hormonal changes can lead to episodes of heightened energy and mood swings. It’s been a bit overwhelming, especially since I’m also managing my treatment and trying to stay balanced."
MED_COG,True,"Assess whether the patient shows evidence of decline in one or more cognitive domains, including complex attention, executive function, learning and memory, language, perceptual-motor abilities, or social cognition. This decline should be noticeable and impact the patient's ability to function in these specific areas.","As I sat in the psychiatrist's office, I suddenly blanked on some things I needed to discuss. Just last week, I forgot a vital detail during a meeting at work about a project I was leading, and it caused confusion among my team. I used to be able to juggle multiple tasks and remember every important date, but now I find myself struggling to keep track of simple things, like misplacing my keys multiple times a day. It's been really frustrating, and I can see how it’s affecting my work and daily life."
MNEUD,True,"Major or Mild Neurocognitive disorder due to another medical condition, with behavioral disturbance","I've been dealing with some rough patches since my hyperthyroidism diagnosis. Last month, I had a situation at home where I completely lost my temper over a minor disagreement with my partner about the laundry. I ended up throwing some dishes in frustration, and I felt terrible afterward. My doctor warned me that the hormonal imbalances could not only cause my mood swings but might also lead to behavioral disturbances like this, and I worried that it was starting to take a toll on my relationships."
SUB_SEV,False,"Evaluate if the elevated or expansive mood reported by the patient is the primary focus of the clinical picture and is of sufficient severity to require clinical attention. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","While I’ve been feeling quite happy and energetic lately, I wouldn’t say that my elevated mood is a primary concern for me. I often feel this way when I’m surrounded by friends or celebrating something special, like last week's party. I think my mood shifts are more related to my hyperthyroidism and the energy fluctuations that come with it, but they don’t feel overwhelmingly distressing or impairing in my day-to-day life."
SIBP,False,Substance/Medication-Induced Bipolar Disorder,"I’ve never found myself abusing substances, so I don’t think I meet the criteria for Substance/Medication-Induced Bipolar Disorder. I enjoy a glass of wine occasionally at social gatherings, but it’s always just one glass at most, like the one I had during that dinner last week. My mood changes seem to be more linked to my hyperthyroidism rather than any substance use."
SI,False,Substance Intoxication; Substance Withdrawal; Other Adverse Effect of Medication,"I haven't experienced any substance intoxication or withdrawal. My social outings are always moderate, like that one glass of wine I had during my friend's birthday dinner. I've never faced any adverse effects from medication either, as I take my thyroid medication regularly without any issues; it's just part of my routine now."
MEDBP,False,Bipolar and Related Disorder due to another medical condition,"When I went to my last endocrinologist appointment, I overheard the nurse discussing how some patients with hyperthyroidism might experience mood swings or energy surges. It resonated with me because I've noticed I can feel really upbeat and energetic one moment, but it doesn’t last. Overall, I don't think these fluctuations are serious enough to be considered a bipolar disorder; they just seem to be side effects of managing my thyroid condition."
MANIC,False,"the patient has reported clinically significant manic. criteria met for a manic episode (i.e., **at least 1 week of elevated**, expansive or irritable mood accompanied by increased activity or energy and other characteristic symptoms sufficiently severe to cause marked impairment). Duration has to be explicitly asked.","I’ve had moments where my mood has felt really high, but they usually only last for short periods, like a day or two after a fun outing. For instance, after that birthday party I organized, I felt great for a day, but it wasn’t a week of feeling this way. I think my mood changes are tied to my hyperthyroidism rather than a manic episode, and overall, I haven’t experienced significant impairment in my daily life."
MANIC_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced any delusions or hallucinations in my life. I remember vividly the last time I was watching a movie with my friends, and I was completely engrossed in it, but everything was just normal, with no strange thoughts or perceptions crossing my mind. I feel grounded in reality and have always maintained a clear understanding of what’s happening around me."
MANIC_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during manic or major depressive episodes.,"I understand that my mood has been elevated lately, but I can't say that I've experienced any psychotic symptoms. My recent feelings of happiness seem to closely correlate with my social interactions and successes, rather than occurring exclusively during any manic or major depressive episodes. For instance, just yesterday I went out with friends for lunch, and we had such a great time laughing and reminiscing, which lifted my spirits but didn't trigger any unsettling thoughts or experiences."
BPIPSYC,False,Bipolar I disorder with psychotic features,"As I sat in the waiting room, I couldn't shake the feeling of contentment that had enveloped me lately. Just the other day, I was out with my friends, enjoying a delicious brunch and sharing stories, and it felt uplifting, but I haven't had any experiences that would lead me to believe I have psychosis. I often reflect on my reality, and despite my elevated mood from good times, I know I'm grounded and clear-headed, never losing touch with what’s real around me."
SCHIZ,False,Schizophrenia spectrum or other psychotic disorder,"I've never experienced any symptoms of a schizophrenia spectrum or other psychotic disorder. Just last week, I was at a coffee shop with my friends, laughing and chatting, entirely aware of my surroundings and having a great time. I’ve always had a clear understanding of reality, and I’ve never encountered any strange thoughts or perceptions that would make me question what’s real."
BPI,False,Bipolar I disorder,"Lately, my mood has been pretty steady—no extreme highs or lows. Just last week, I spent a quiet evening at home with my partner, watching movies and enjoying some homemade pizza, and I felt completely content. I know my hyperthyroidism can cause fluctuations, but thankfully, I haven't noticed any intense mood swings that would lead me to believe I have symptoms of bipolar disorder."
HYPOMANIC,False,"The patient has reported hypomanic and at least one Major Depressive Epsidoe. Criteria met for a hypomanic episode (i.e., at least 4 days of elevated, expansive, or irritable mood accompanied by increased activity or energy and other characteristic symptoms not severe enough to cause marked impairment) and has at other times met criteria for a Major Depression Episode.  Duration has to be explicitly asked.","I've had some ups and downs in my mood, but I haven't experienced a full Major Depressive Episode. For instance, while I felt a bit low after a particularly tiring week at work, it only lasted a couple of days and never resulted in significant impairment. I was still able to get out of bed, attend social events, and enjoy time with friends, so it didn’t feel severe enough to classify as a major depressive episode."
HYPOMANIC_HALL,False,The patient meets the criteria if they acknowledge having a history of delusions or hallucinations.,"I’ve never experienced any delusions or hallucinations in my life. Just the other day, I was at a friend's house watching a movie, and everything felt completely normal; I was fully aware of what was happening around me. I’ve always maintained a clear grip on reality, so I don’t have any concerns about experiencing any psychotic symptoms."
HYPOMANIC_HALL_PSYC,False,The criteria are met if the patient's psychotic symptoms occur exclusively during  major depressive episodes.,"I've actually never had any psychotic symptoms, as I always feel very much in touch with reality. Just last weekend, I spent time with friends playing board games, and I was fully engaged without any strange thoughts or experiences. My mood does fluctuate sometimes due to my hyperthyroidism, but it never leads to confusion or detachment from reality."
BPIIPSYC,False,Bipolar II disorder with psychotic features,"I’ve never experienced symptoms that would make me think I have Bipolar II disorder with psychotic features. Recently, I hosted a dinner party, and while I felt really happy and energetic, it was just a product of the fun atmosphere and good company. I’ve always had a clear understanding of reality, and I’ve never encountered any delusional thoughts or hallucinations in my life, so I don't believe that my symptoms fit within that diagnosis."
SCHIZ2,False,Schizophrenia spectrum or other psychotic disorder,"I’ve never experienced any symptoms of schizophrenia spectrum or any other psychotic disorder. Just last weekend, I was at a friend's house for a game night, completely engaged in the fun and laughter, and I felt very much aware of everything around me. I’ve always maintained a clear understanding of reality and haven’t had any unusual thoughts or experiences that would suggest a psychotic disorder."
BPII,False,Bipolar II disorder,"Lately, my mood has been relatively stable, and I don't believe I've experienced the severe mood fluctuations that characterize Bipolar II disorder. For example, just a few days ago, I had a calm evening at home, where I cooked dinner with my partner, and we enjoyed a relaxed night without any dramatic emotional swings. While I sometimes feel a little energizing lift from my hyperthyroidism, it hasn’t led to any manic or depressive episodes that would disrupt my daily life."
HYPOMANICDEP,False,The criteria are met if the patient explicitly reported at least 2 years of hypomanic symptoms along with periods of depressed mood. Duration should be explicitly asked.,"I haven't experienced hypomanic symptoms for two years; instead, my mood has been quite stable overall. Last month, I felt a bit more energetic after planning that birthday party for my friend, but it only lasted for a couple of days, and I haven't had any depressive periods that followed it. My doctor mentioned that my hyperthyroidism can cause mood fluctuations, but it hasn't been severe enough to classify it in that way."
CYC,False,Cyclothymic,"I don't think I meet the criteria for cyclothymia. For instance, my mood has been relatively stable, and I haven't experienced those persistent mood fluctuations that last for long periods. Just last week, I had a lovely day spent gardening and enjoying the sunshine with my neighbor, and I felt content throughout. It's nice to feel pleasant emotions without the ups and downs that come with cyclothymic disorder."
GAMB,False,The criteria is met if elevated or euphoric mood confined to periods of gambling,"While I do feel a sense of euphoria when I win at gambling, it's never confined solely to those moments. Just last month, I went to a casino with some friends, and after winning a few rounds at blackjack, we celebrated by going out for dinner. The excitement of the win felt great, but it wasn't a lasting elevated mood—I returned to my usual self the next day without any lingering feelings of joy tied specifically to the gambling."
GAMB_SEV,False,"The criteria are met if the persistent and problematic gambling behaviour leads to clinically significant impairment or distress. This means the symptoms should be significant enough to cause notable distress or impairment, making them a central concern in the patient's overall condition.","I've enjoyed playing poker with my friends at local game nights, but it’s never gotten out of hand for me—it's mostly just a fun social activity. Last month, I remember winning a small pot and feeling excited, but the thrill didn’t consume me; I was able to focus on my work and everyday life without any distress. I still have a stable routine, and gambling hasn’t interfered with my relationships or responsibilities at all."
GAMBD,False,Gambling Disorder,"I've played poker with friends a few times and enjoy it as a fun social activity, but I've never felt the need to gamble outside those occasions or chase losses. Just last weekend, we had a game night at my place, and while it was exciting to win a couple of rounds, I was completely able to walk away afterward without any desire to keep playing or risk more money. It really feels just like a casual hobby to me, without any urge to gamble excessively."
NORMALGAMB,False,Normal Gambling Behavior,"I’ve always enjoyed playing poker with my friends during our monthly game nights, but I've never felt any compulsion to gamble outside of that. Just last weekend, we had a fun evening, and while I won a few hands, it was all lighthearted—once the game was over, I didn’t feel any urge to continue gambling or risk more money. I manage my finances well, and gambling has never disrupted my daily life or responsibilities."
OTH,False,"The criteria are met if the patient exhibits a maladaptive response to a psychosocial stressor, meaning their response is disproportionate or ineffective, leading to significant distress or impairment in functioning.","I find that I usually respond well to stressors in my life. For instance, last month when my team faced a tight deadline at work, I took it as a challenge and organized a group plan to tackle it effectively, which brought us all closer together. I felt pretty calm throughout the process, and while it was a stressful time, I wouldn't say it negatively impacted my functioning or caused significant distress."
OTHBP,False,Other specified bipolar and related disorder; unspecified bipolar and related disorder,"Although I've experienced some elevated moods, I don’t think I meet the criteria for bipolar disorder. Just the other day, I enjoyed a day out at the park with friends, and while I felt happy and energetic, it was simply a reflection of the fun and laughter we shared. My mood has been fairly consistent, and I haven't noticed any prolonged periods of highs or lows that would indicate a bipolar condition."
NOAMLELEVATED,False,"""Normal"" elevated or euphoric mood","I've been feeling pretty grounded overall, without any euphoric highs lately. Just the other day, I had a nice evening cooking dinner at home with my partner, and while I felt content, it wasn't an elevated mood—more like a steady happiness. I haven't noticed any significant mood shifts that would lead me to think I meet the criteria for an elevated mood."
